Reading_Count,Pitch,Yaw,Pitotstatic
0.000,147.415,-39.968,35.693
1.000,145.226,-38.212,32.076
2.000,145.563,-37.044,37.854
3.000,144.675,-39.257,41.047
4.000,141.946,-41.550,33.729
5.000,145.811,-38.604,35.136
6.000,147.848,-39.349,31.969
7.000,145.544,-39.551,34.870
8.000,146.819,-40.359,36.457
9.000,145.242,-40.526,22.600
10.000,147.551,-40.526,32.807
11.000,147.089,-38.404,37.992
12.000,144.615,-43.596,35.166
13.000,149.614,-41.750,39.923
14.000,147.304,-40.731,45.382
15.000,146.108,-40.216,33.093
16.000,145.805,-38.716,38.692
17.000,147.667,-40.455,25.037
18.000,146.468,-38.368,32.531
19.000,146.468,-40.119,38.405
20.000,144.576,-41.189,37.857
21.000,145.892,-43.625,30.126
22.000,147.621,-39.904,41.157
23.000,147.844,-40.200,38.924
24.000,144.486,-38.439,36.898
25.000,148.685,-41.832,35.656
26.000,147.213,-42.425,30.388
27.000,146.826,-39.976,25.251
28.000,148.132,-39.941,41.422
29.000,147.365,-42.068,41.528
30.000,146.268,-40.915,41.035
31.000,146.768,-43.488,31.820
32.000,147.901,-37.644,44.923
33.000,148.092,-39.587,36.381
34.000,146.582,-42.738,45.284
35.000,147.561,-41.614,44.152
36.000,148.409,-40.340,37.174
37.000,147.406,-42.100,33.576
38.000,144.721,-40.970,28.531
39.000,148.730,-42.377,45.162
40.000,149.074,-43.221,39.990
41.000,148.498,-41.140,29.792
42.000,147.142,-40.026,31.117
43.000,147.027,-35.513,28.908
44.000,148.800,-33.771,32.601
45.000,147.410,-26.796,28.463
46.000,150.577,-21.727,31.254
47.000,145.101,-12.662,20.127
48.000,146.454,-2.285,19.296
49.000,144.512,1.583,20.728
50.000,147.488,7.433,21.208
51.000,149.027,10.055,19.007
52.000,144.175,16.164,20.032
53.000,143.815,20.263,20.697
54.000,145.687,21.329,20.368
55.000,145.751,24.316,23.351
56.000,146.936,24.783,22.256
57.000,147.956,27.719,19.567
58.000,147.959,28.796,17.072
59.000,145.605,30.403,17.860
60.000,148.445,31.045,15.843
61.000,146.837,31.013,13.136
62.000,145.726,34.193,17.853
63.000,146.238,34.244,30.400
