Reading_Count,Pitch,Yaw,Pitotstatic
0,-314.142,-289.285,635.532
1,-328.103,-290.926,627.317
2,-322.607,-288.814,634.776
3,-316.577,-294.551,631.440
4,-318.544,-284.937,632.648
5,-318.553,-292.399,628.769
6,-302.915,-292.119,632.365
7,-312.045,-270.854,630.505
8,-314.577,-281.515,631.902
9,-323.107,-299.537,636.891
10,-315.842,-278.135,631.485
11,-304.140,-289.322,635.068
12,-316.059,-293.722,638.521
13,-311.105,-285.504,638.413
14,-318.954,-284.667,633.164
15,-299.289,-273.886,637.069
16,-322.891,-289.028,633.485
17,-308.609,-296.179,628.249
18,-319.060,-278.895,629.963
19,-320.690,-280.477,630.543
20,-308.936,-277.912,623.236
21,-314.287,-277.177,631.649
22,-307.444,-284.733,629.530
23,-309.202,-279.563,627.092
24,-308.763,-280.923,628.831
25,-302.661,-292.171,631.649
26,-314.357,-286.568,629.840
27,-320.805,-287.317,627.190
28,-319.966,-293.207,630.802
29,-303.662,-284.846,622.549
30,-311.838,-282.677,621.272
31,-294.548,-290.011,628.855
32,-301.342,-281.844,623.946
33,-299.442,-278.415,620.299
34,-318.823,-280.721,624.604
35,-300.748,-279.140,618.130
36,-317.960,-284.100,622.418
37,-300.103,-274.383,625.968
38,-313.678,-279.335,627.071
39,-290.786,-278.250,626.563
40,-299.964,-285.868,628.627
41,-302.481,-282.996,629.098
42,-301.929,-280.376,622.638
43,-282.675,-278.756,627.684
44,-309.588,-293.920,630.663
45,-309.333,-281.237,628.818
46,-301.506,-283.022,630.400
47,-304.304,-287.998,631.002
48,-290.737,-289.375,627.624
49,-300.469,-269.594,634.612
50,-304.991,-285.433,633.967
51,-292.800,-288.030,623.493
52,-303.944,-288.292,629.497
53,-319.539,-284.887,635.607
54,-321.525,-285.494,631.682
55,-309.459,-287.228,631.739
56,-296.480,-292.545,632.182
57,-310.891,-290.900,629.281
58,-315.341,-289.220,631.177
59,-320.035,-280.437,633.436
60,-308.841,-279.902,628.106
61,-293.527,-288.185,628.902
62,-305.566,-281.981,634.008
63,-298.465,-278.481,630.741
64,-299.171,-283.702,634.476
65,-324.486,-291.559,633.903
66,-299.528,-282.698,632.733
67,-307.607,-285.939,636.419
68,-322.088,-292.358,642.765
69,-321.704,-298.547,636.899
70,-310.955,-280.665,631.891
71,-307.012,-296.888,637.485
72,-319.190,-288.984,640.800
73,-303.909,-284.081,635.344
74,-293.542,-282.576,638.714
75,-310.371,-294.491,639.218
76,-310.565,-296.410,639.993
77,-308.137,-291.068,635.474
78,-310.678,-274.413,636.584
79,-307.032,-285.271,634.536
80,-298.298,-293.383,632.283
81,-309.725,-288.679,633.392
82,-301.860,-286.186,635.062
83,-303.997,-277.129,630.519
84,-289.805,-286.128,632.533
85,-298.579,-288.039,633.399
86,-304.936,-282.511,628.377
87,-300.003,-292.898,632.596
88,-308.521,-287.249,630.574
89,-302.188,-278.391,624.783
90,-311.125,-284.874,622.943
91,-303.219,-277.345,629.388
92,-312.133,-292.881,619.684
93,-300.099,-284.664,622.543
94,-307.304,-289.469,626.505
95,-307.656,-274.812,621.734
96,-310.195,-287.354,625.651
97,-301.119,-282.744,632.405
98,-295.151,-281.974,632.239
99,-306.500,-269.812,628.295
100,-314.552,-271.843,632.345
101,-327.087,-278.824,630.287
102,-299.861,-282.701,632.960
103,-316.902,-275.114,631.762
104,-325.297,-291.096,632.584
105,-309.101,-285.811,628.670
106,-298.624,-283.237,634.332
107,-296.865,-284.395,631.559
108,-310.272,-288.841,627.399
109,-307.583,-290.105,630.795
110,-303.576,-283.651,634.962
111,-302.954,-281.855,627.894
112,-299.879,-287.845,625.727
113,-304.422,-282.429,633.325
114,-295.412,-290.280,630.112
115,-303.484,-285.309,626.886
116,-296.244,-284.853,626.307
117,-304.116,-284.862,621.641
118,-309.680,-281.177,620.941
119,-282.172,-283.216,625.703
120,-306.937,-290.722,621.581
121,-308.709,-285.528,620.840
122,-313.950,-278.874,625.376
123,-292.037,-281.544,625.388
124,-315.198,-282.212,622.381
125,-295.543,-276.799,623.295
126,-308.592,-285.626,621.785
127,-301.227,-278.437,617.092
128,-296.199,-273.986,619.861
129,-296.703,-270.421,624.123
130,-309.447,-275.988,622.588
131,-318.938,-272.295,620.551
132,-304.285,-276.202,615.782
133,-300.229,-277.401,620.751
134,-297.314,-279.668,619.470
135,-295.614,-282.430,621.371
136,-296.845,-280.488,621.358
137,-298.700,-291.035,625.370
138,-314.438,-286.898,626.667
139,-301.161,-290.989,620.672
140,-308.891,-280.612,624.403
141,-303.060,-288.661,627.936
142,-299.798,-283.849,626.038
143,-300.148,-283.513,626.499
144,-286.598,-284.522,625.265
145,-298.549,-290.430,625.060
146,-297.575,-274.565,624.817
147,-305.964,-281.343,623.061
148,-298.014,-282.205,623.430
149,-298.088,-289.803,621.565
150,-305.994,-288.846,625.255
151,-315.606,-282.377,624.976
152,-297.222,-275.246,623.186
153,-305.774,-281.593,621.783
154,-312.691,-277.359,620.813
155,-302.434,-279.951,618.847
156,-313.638,-291.094,621.145
157,-287.709,-275.774,620.214
158,-302.482,-272.493,615.742
159,-307.051,-276.961,618.010
160,-297.440,-278.507,621.228
161,-308.191,-275.708,613.687
162,-288.803,-282.419,615.947
163,-296.368,-281.112,619.969
164,-309.910,-281.934,620.471
165,-313.812,-274.139,616.665
166,-302.840,-285.059,616.456
167,-311.489,-282.584,621.787
168,-295.044,-279.845,621.611
169,-304.127,-283.084,623.505
170,-312.297,-275.787,629.753
171,-303.911,-274.187,623.466
172,-312.270,-288.076,627.108
173,-293.157,-293.762,630.754
174,-309.765,-288.350,630.834
175,-307.916,-286.275,628.379
176,-303.377,-287.895,628.210
177,-306.899,-296.819,631.274
178,-310.219,-274.125,627.544
179,-305.000,-283.860,632.378
180,-321.432,-290.539,625.929
181,-307.045,-277.570,623.212
182,-314.450,-281.567,627.542
183,-302.927,-289.056,622.982
184,-298.290,-279.119,624.623
185,-323.860,-283.799,629.093
186,-308.343,-292.571,630.023
187,-309.780,-290.376,630.297
188,-313.705,-288.325,633.064
189,-300.436,-290.853,638.629
190,-300.026,-288.523,634.547
191,-307.270,-292.305,638.618
192,-324.232,-281.377,640.199
193,-320.476,-286.612,634.207
194,-313.201,-292.187,636.367
195,-318.058,-295.236,634.733
196,-324.258,-298.961,631.731
197,-315.699,-288.034,630.170
198,-307.077,-289.369,631.179
199,-301.822,-290.525,631.040
