Reading_Count,Pitch,Yaw,Pitotstatic
0,624.878,637.591,461.716
1,613.766,621.425,459.846
2,610.793,654.170,458.065
3,619.161,617.247,460.538
4,611.388,651.932,457.122
5,626.355,632.925,453.932
6,622.377,638.421,455.350
7,620.361,613.738,460.655
8,632.801,633.142,456.590
9,620.237,650.833,457.655
10,620.132,661.135,454.597
11,630.666,641.436,464.594
12,622.703,637.553,462.252
13,621.365,626.333,465.535
14,642.986,620.608,459.305
15,612.406,638.279,461.177
16,633.362,642.223,456.545
17,630.221,623.741,461.134
18,624.028,628.176,456.998
19,615.807,641.138,464.135
20,626.151,625.521,460.770
21,615.884,644.144,463.067
22,616.617,625.676,467.859
23,609.095,657.181,464.199
24,624.994,639.220,458.461
25,613.217,636.132,460.576
26,614.361,644.219,459.850
27,609.399,635.719,461.592
28,599.578,651.832,459.600
29,623.956,621.633,461.359
30,626.275,638.208,456.478
31,629.802,627.981,462.272
32,631.090,631.674,464.232
33,634.827,649.338,462.051
34,625.703,653.815,464.847
35,642.355,645.701,470.352
36,646.871,629.421,463.476
37,631.446,656.101,467.574
38,623.809,644.905,464.443
39,627.532,643.891,468.245
40,634.908,649.481,469.720
41,647.851,632.373,466.358
42,638.492,663.861,465.222
43,632.119,636.657,468.765
44,624.965,645.602,465.342
45,625.910,619.959,466.389
46,625.906,631.936,467.949
47,629.316,639.899,466.239
48,627.633,655.671,466.342
49,639.461,634.385,464.190
50,620.336,654.474,465.692
51,628.508,629.785,464.214
52,627.003,654.193,469.020
53,630.637,652.523,468.590
54,648.382,652.013,472.162
55,626.245,653.600,471.557
56,625.200,652.445,465.462
57,641.733,650.425,469.010
58,651.820,659.717,465.250
59,653.841,653.301,474.448
60,627.590,638.753,468.344
61,627.393,650.740,472.361
62,647.208,653.350,473.811
63,663.374,632.188,474.285
64,638.680,642.821,471.250
65,641.548,638.700,475.490
66,651.178,648.384,475.771
67,648.663,662.478,469.214
68,634.856,657.530,474.871
69,646.912,662.904,477.741
70,632.752,658.579,478.247
71,662.461,642.177,477.066
72,640.745,672.631,475.706
73,647.712,656.653,467.553
74,656.649,632.217,473.808
75,638.343,648.058,469.356
76,640.876,635.217,469.230
77,642.309,647.676,469.138
78,627.195,635.765,472.579
79,647.009,625.341,471.945
80,646.873,636.326,465.490
81,635.375,638.777,462.017
82,632.100,649.916,466.041
83,631.184,665.579,467.727
84,627.290,664.403,468.604
85,621.899,633.623,464.325
86,638.006,654.593,468.625
87,627.589,652.117,467.907
88,645.935,626.381,467.410
89,631.487,643.994,472.038
90,641.814,657.946,470.725
91,641.405,648.939,464.632
92,640.660,646.293,468.292
93,647.849,643.707,464.697
94,647.328,643.323,467.791
95,644.529,638.610,466.198
96,630.362,625.949,468.856
97,632.963,642.707,470.680
98,649.241,649.505,465.836
99,623.952,616.003,463.303
100,638.686,643.339,466.632
101,623.738,648.732,464.991
102,613.002,621.279,464.092
103,632.198,640.804,462.821
104,630.341,636.799,461.974
105,628.389,637.510,458.412
106,621.181,643.376,463.466
107,630.108,622.024,460.831
108,628.351,629.308,465.233
109,628.938,631.995,463.358
110,624.450,621.245,460.953
111,607.729,620.096,458.122
112,610.070,626.442,455.496
113,616.444,626.952,461.587
114,630.233,634.904,459.274
115,614.119,606.454,459.130
116,624.036,629.598,462.657
117,622.537,621.389,458.385
118,628.778,615.733,459.140
119,622.014,622.348,460.093
120,635.681,631.496,460.589
121,607.771,608.821,460.699
122,617.020,620.831,460.880
123,622.823,642.240,462.623
124,635.288,643.827,462.779
125,622.659,635.811,465.925
126,643.361,620.444,466.423
127,630.669,653.256,458.914
128,634.372,636.652,459.875
129,630.911,660.317,465.277
130,627.757,655.266,465.672
131,637.847,653.467,462.419
132,621.873,642.462,461.481
133,629.950,635.477,465.250
134,612.479,626.040,464.035
135,625.006,635.837,461.792
136,617.043,628.319,465.465
137,623.497,647.082,460.735
138,628.352,627.081,463.813
139,616.199,645.058,462.509
140,619.398,627.790,463.130
141,635.219,630.663,462.816
142,630.963,635.073,461.288
143,631.219,627.182,463.485
144,622.433,612.456,467.224
