Reading_Count,Pitch,Yaw,Pitotstatic
0,-156.843,-91.524,55.641
1,-155.681,-95.010,54.264
2,-153.328,-91.529,54.295
3,-154.303,-92.530,54.934
4,-153.998,-90.896,53.683
5,-153.850,-91.312,54.572
6,-154.087,-93.130,53.838
7,-153.207,-91.140,54.394
8,-153.295,-91.165,54.449
9,-155.248,-90.085,55.473
10,-151.151,-92.093,54.722
11,-153.574,-89.582,54.601
12,-152.518,-89.866,52.610
13,-151.623,-91.609,53.729
14,-147.467,-89.528,52.706
15,-149.735,-89.702,52.900
16,-148.679,-90.816,52.258
17,-148.270,-92.288,53.828
18,-149.515,-90.514,53.680
19,-148.674,-92.177,55.081
20,-152.514,-89.730,53.757
21,-150.550,-90.156,55.543
22,-149.331,-89.789,54.849
23,-148.985,-90.442,54.876
24,-147.790,-92.296,53.830
25,-148.601,-90.484,52.084
26,-145.834,-92.173,52.888
27,-146.635,-89.660,53.964
28,-149.084,-89.529,53.611
29,-147.690,-91.091,54.689
30,-149.726,-90.369,54.251
31,-147.839,-88.742,55.231
32,-149.036,-90.519,55.383
33,-146.903,-90.025,54.511
34,-149.278,-91.154,55.463
35,-149.061,-90.879,53.843
36,-146.530,-89.983,54.824
37,-148.368,-90.477,56.229
38,-148.579,-88.656,54.021
39,-151.377,-89.590,55.561
40,-144.431,-90.185,52.453
41,-145.406,-90.072,54.564
42,-145.633,-90.369,53.582
43,-144.711,-91.564,55.833
44,-144.071,-88.536,53.054
45,-145.941,-90.312,55.151
46,-145.002,-89.084,53.940
47,-146.824,-91.325,55.804
48,-144.741,-93.623,53.149
49,-145.303,-90.370,54.419
50,-148.147,-93.458,55.521
51,-145.481,-90.553,54.934
52,-145.707,-91.092,55.369
53,-150.707,-91.958,56.489
54,-146.499,-92.048,56.530
55,-146.141,-92.556,54.633
56,-147.739,-91.156,55.753
57,-149.615,-91.095,55.330
58,-145.836,-89.942,55.115
59,-145.431,-91.220,53.015
60,-146.553,-91.817,54.308
61,-147.154,-90.613,54.240
62,-145.231,-90.755,56.530
63,-145.767,-90.181,55.999
64,-147.934,-93.298,53.693
65,-146.379,-89.533,54.759
66,-149.305,-91.209,54.228
67,-147.348,-92.642,52.553
68,-145.085,-92.183,52.878
69,-146.883,-89.422,54.990
70,-144.859,-90.948,54.556
71,-144.905,-92.684,56.299
72,-146.278,-90.580,54.540
73,-145.031,-90.743,53.354
74,-147.780,-94.144,57.019
75,-144.416,-92.199,56.112
76,-147.344,-93.578,55.728
77,-147.257,-90.942,53.955
78,-145.341,-90.282,56.694
79,-144.757,-90.607,55.646
80,-145.136,-89.772,56.708
81,-146.412,-91.723,55.017
82,-145.868,-90.104,54.988
83,-147.283,-91.340,55.768
84,-145.729,-90.158,54.705
85,-146.620,-90.854,54.404
86,-143.460,-90.519,54.910
87,-145.524,-92.648,56.220
88,-145.902,-91.947,55.196
89,-146.088,-93.247,54.528
90,-143.062,-89.673,53.943
91,-145.972,-91.127,55.348
92,-147.184,-89.423,56.370
93,-145.049,-90.557,55.225
94,-147.186,-90.106,56.234
95,-147.131,-91.930,56.763
96,-144.681,-91.234,55.099
97,-145.003,-91.675,52.062
98,-145.722,-89.343,53.575
99,-145.338,-90.570,55.143
100,-146.963,-88.723,54.654
101,-144.817,-88.017,55.170
102,-144.143,-91.304,54.883
103,-144.501,-90.104,53.605
104,-143.658,-91.297,54.449
105,-144.138,-91.935,55.648
106,-145.276,-92.415,55.171
107,-144.531,-90.477,52.770
108,-145.790,-91.136,53.725
109,-145.029,-91.857,52.730
110,-145.566,-91.825,55.319
111,-143.914,-90.076,55.181
112,-146.863,-90.154,55.101
113,-143.163,-89.865,55.538
114,-144.885,-91.187,55.511
115,-147.023,-93.589,54.476
116,-145.583,-90.394,54.338
117,-144.774,-91.909,54.664
118,-144.462,-90.497,53.286
119,-147.787,-91.147,55.714
120,-143.511,-91.147,54.924
121,-147.419,-92.043,56.953
122,-146.104,-90.473,54.393
123,-146.677,-88.777,54.773
124,-146.346,-90.154,56.083
125,-143.919,-90.602,55.225
126,-141.578,-91.540,53.358
127,-144.355,-91.356,55.827
128,-145.592,-89.321,56.847
129,-144.843,-89.649,54.175
130,-142.637,-91.594,53.371
131,-145.929,-89.175,55.658
132,-143.868,-90.668,56.723
133,-143.992,-91.897,55.267
134,-144.941,-92.414,51.707
135,-144.061,-90.826,55.987
136,-147.405,-88.933,56.915
137,-144.468,-94.773,54.039
138,-145.538,-91.615,55.091
139,-145.287,-91.278,57.827
140,-146.746,-89.532,55.006
141,-145.896,-90.538,54.746
142,-145.356,-92.004,54.528
143,-144.463,-88.966,53.892
144,-145.383,-91.865,55.321
145,-145.826,-90.015,53.944
146,-145.440,-92.027,55.249
147,-145.622,-90.722,55.006
148,-146.124,-91.835,55.306
149,-145.648,-91.474,53.807
150,-144.287,-90.960,53.043
151,-143.833,-88.832,54.596
152,-144.464,-88.487,56.205
153,-141.530,-91.979,54.134
154,-142.284,-87.982,53.657
155,-144.788,-90.438,55.564
156,-146.577,-91.062,54.774
