Reading_Count,Pitch,Yaw,Pitotstatic
0,-28.252,39.326,46.065
1,-27.970,35.894,46.339
2,-28.203,38.454,47.036
3,-28.402,37.988,45.973
4,-28.960,36.964,45.949
5,-27.586,37.921,45.252
6,-26.523,37.827,46.139
7,-26.412,38.549,45.787
8,-25.979,38.779,46.154
9,-25.949,40.555,45.051
10,-25.529,38.714,45.270
11,-26.363,40.759,44.861
12,-24.694,37.868,45.775
13,-26.295,37.407,46.224
14,-25.311,38.468,45.569
15,-24.899,38.459,46.444
16,-22.442,38.672,46.020
17,-23.657,39.510,45.612
18,-23.260,39.143,45.231
19,-23.333,40.859,45.734
20,-23.276,39.255,46.347
21,-23.831,39.667,46.171
22,-22.724,40.366,46.469
23,-21.853,41.067,47.084
24,-20.906,41.276,46.757
25,-21.712,39.320,46.948
26,-23.255,40.848,46.211
27,-21.733,40.429,46.009
28,-20.945,39.236,46.663
29,-21.226,40.845,46.280
30,-21.663,39.988,46.662
31,-21.598,39.490,46.310
32,-21.829,39.427,46.651
33,-19.782,40.770,46.637
34,-21.256,40.893,46.104
35,-21.075,40.679,46.746
36,-21.172,38.353,47.166
37,-20.151,40.031,46.283
38,-19.372,41.335,46.407
39,-21.431,40.557,46.567
40,-18.333,40.279,46.447
41,-20.668,40.503,46.459
42,-19.882,39.614,45.874
43,-20.389,40.309,45.876
44,-20.627,38.961,46.242
45,-20.217,40.098,46.353
46,-20.512,39.730,46.246
47,-20.191,40.132,45.930
48,-19.945,41.924,45.467
49,-20.246,40.910,46.268
50,-19.805,42.685,45.725
51,-20.828,39.701,46.692
52,-20.725,40.544,46.066
53,-19.983,39.635,46.406
54,-17.965,41.782,46.187
55,-19.312,39.881,46.435
56,-19.538,39.919,46.352
57,-19.897,39.774,46.189
58,-20.432,38.765,46.982
59,-17.372,41.585,46.488
60,-18.696,38.405,46.748
61,-19.358,39.739,46.572
62,-19.855,38.559,46.898
63,-18.892,39.132,46.326
64,-20.158,38.625,46.504
65,-17.675,41.240,45.701
66,-18.560,40.007,46.341
67,-20.810,39.420,46.038
68,-19.001,40.365,45.890
69,-20.030,39.250,45.521
70,-19.876,39.726,44.961
71,-19.758,41.395,45.003
72,-21.160,39.625,46.109
73,-19.393,39.190,45.714
74,-19.673,39.965,45.279
75,-19.987,39.059,45.347
76,-19.666,38.725,45.878
77,-17.813,42.077,45.592
78,-18.401,39.601,45.645
79,-20.398,40.294,45.565
80,-20.186,39.034,45.728
