Reading_Count,Pitch,Yaw,Pitotstatic
0,-483.539,-69.202,615.578
1,-495.116,-54.084,612.513
2,-485.514,-56.484,614.762
3,-487.232,-53.757,613.574
4,-486.528,-60.921,614.454
5,-474.434,-67.756,616.117
6,-504.102,-58.382,616.392
7,-465.226,-60.492,616.529
8,-482.492,-59.448,619.998
9,-482.188,-56.943,616.780
10,-475.680,-56.468,618.963
11,-480.547,-67.171,614.458
12,-474.546,-50.335,618.095
13,-476.734,-57.327,619.213
14,-474.827,-63.674,614.993
15,-479.701,-57.469,618.654
16,-481.982,-53.635,618.729
17,-466.676,-52.774,617.778
18,-477.557,-64.653,619.110
19,-478.285,-67.175,617.952
20,-477.586,-54.834,614.117
21,-482.324,-61.599,616.386
22,-472.433,-65.441,620.150
23,-474.968,-59.863,622.307
24,-479.822,-56.939,621.103
25,-480.522,-67.595,616.255
26,-468.200,-60.386,617.961
27,-468.583,-74.071,617.630
28,-473.345,-56.302,617.659
29,-473.604,-57.933,612.139
30,-464.207,-60.519,614.460
31,-466.852,-64.807,616.306
32,-484.935,-54.858,610.936
33,-455.808,-59.282,613.703
34,-483.182,-56.844,617.780
35,-475.882,-66.014,614.236
36,-467.713,-72.545,616.776
37,-468.459,-61.785,615.464
38,-465.743,-61.758,615.873
39,-475.731,-58.416,607.630
40,-475.603,-63.873,610.932
41,-483.085,-59.071,604.518
42,-468.859,-48.992,602.313
43,-471.888,-60.565,602.174
44,-479.980,-62.525,606.578
45,-455.046,-65.744,604.547
46,-479.150,-66.447,607.025
47,-464.711,-58.377,610.058
48,-466.307,-61.951,606.189
49,-472.182,-65.105,608.445
50,-474.594,-64.197,612.224
51,-464.443,-63.933,608.812
52,-449.454,-55.566,611.878
53,-477.421,-68.579,611.226
54,-457.684,-58.774,608.329
55,-458.843,-66.361,611.148
56,-452.395,-65.942,612.966
57,-466.768,-69.260,607.548
58,-453.956,-70.926,608.597
59,-453.326,-79.152,613.808
60,-457.827,-65.900,605.964
61,-458.725,-69.180,611.718
62,-444.517,-71.552,612.182
63,-449.579,-59.175,614.557
64,-456.632,-62.289,610.635
65,-456.197,-64.743,611.583
66,-457.145,-57.976,610.971
67,-459.443,-71.894,604.558
68,-451.564,-65.581,605.913
69,-446.641,-62.339,606.561
70,-465.248,-60.981,607.341
71,-451.089,-53.476,609.962
72,-461.173,-64.505,608.614
73,-444.693,-63.523,606.022
74,-451.244,-69.152,606.641
75,-456.754,-66.066,608.893
76,-467.157,-66.037,607.373
77,-443.004,-63.138,611.131
78,-449.461,-57.182,611.608
79,-444.265,-56.521,606.718
80,-454.528,-58.761,614.890
81,-460.417,-58.339,613.134
82,-445.754,-66.625,607.361
83,-454.890,-56.170,604.315
84,-447.290,-50.808,608.966
85,-460.705,-58.256,604.043
86,-447.134,-60.673,607.879
87,-453.631,-59.235,607.825
88,-454.457,-62.513,605.473
89,-453.973,-57.122,605.807
90,-448.756,-62.648,611.256
91,-466.344,-66.444,608.747
92,-459.776,-67.902,610.971
93,-473.852,-67.847,608.829
94,-457.661,-58.887,603.949
95,-459.856,-63.965,605.175
96,-462.192,-67.719,610.312
97,-462.310,-61.817,609.333
98,-462.306,-61.411,605.982
99,-459.803,-55.749,614.195
100,-458.370,-63.673,611.738
101,-458.111,-63.058,611.142
102,-465.891,-62.659,612.239
103,-467.820,-68.539,614.122
104,-456.250,-62.245,608.137
105,-442.640,-59.464,612.831
106,-445.539,-72.220,608.237
107,-458.359,-61.930,610.780
108,-446.594,-62.090,608.644
109,-455.651,-68.293,607.907
110,-438.309,-64.121,604.635
111,-447.235,-61.503,607.782
112,-452.163,-58.748,611.698
113,-456.868,-62.268,611.206
114,-445.810,-64.813,612.870
115,-437.972,-65.097,614.149
116,-462.594,-62.538,610.654
117,-452.868,-64.599,611.819
118,-468.876,-67.907,616.271
119,-453.342,-67.774,610.128
120,-450.751,-67.855,610.146
121,-454.254,-68.991,613.982
122,-451.558,-68.317,613.856
123,-457.730,-73.575,607.364
124,-450.475,-68.593,610.887
125,-446.606,-64.186,608.355
126,-444.999,-65.926,604.644
127,-445.115,-57.265,610.798
128,-450.395,-62.706,609.426
129,-463.133,-53.996,609.152
130,-461.753,-61.318,614.365
131,-458.274,-59.716,613.683
132,-463.738,-61.439,612.052
133,-466.361,-60.986,612.131
134,-454.548,-55.903,615.723
135,-466.313,-57.131,610.783
136,-471.067,-55.094,612.302
137,-466.703,-62.653,612.837
138,-458.433,-58.429,606.551
139,-456.098,-57.764,610.700
140,-457.238,-55.494,610.828
141,-451.411,-65.394,610.983
142,-444.706,-68.166,610.183
143,-440.093,-60.077,613.493
144,-448.160,-57.630,614.219
145,-472.660,-65.962,611.598
146,-466.458,-66.366,617.219
147,-455.779,-62.896,618.043
148,-452.892,-68.590,612.232
149,-450.852,-66.892,611.670
150,-456.980,-50.201,615.103
151,-460.582,-49.040,609.841
152,-464.421,-64.249,615.454
153,-472.853,-65.818,617.145
154,-449.492,-60.205,613.584
155,-447.026,-60.914,612.984
156,-470.490,-58.866,620.632
157,-456.547,-60.543,618.321
158,-464.989,-60.484,619.042
159,-461.615,-64.033,619.009
160,-460.972,-56.129,621.048
161,-464.963,-66.292,616.398
162,-473.614,-65.440,616.644
163,-463.972,-62.094,621.480
164,-467.592,-53.159,615.701
165,-471.939,-61.920,618.888
166,-459.821,-61.923,618.911
167,-460.114,-65.260,613.410
168,-457.419,-65.099,613.984
169,-465.844,-60.411,620.678
170,-453.349,-52.095,615.019
171,-462.787,-62.492,615.167
172,-449.366,-57.253,617.095
173,-467.762,-47.276,616.248
174,-460.366,-56.550,617.909
175,-460.947,-49.437,620.423
176,-464.370,-54.164,618.108
177,-466.642,-63.895,618.980
178,-465.538,-58.771,617.865
179,-474.787,-65.123,619.120
180,-461.324,-59.691,618.464
181,-470.038,-62.228,619.794
182,-462.785,-53.342,615.876
183,-465.368,-59.798,619.604
184,-459.119,-64.403,616.456
185,-459.221,-62.408,618.189
186,-460.622,-57.751,615.855
187,-464.882,-49.597,618.682
188,-458.460,-63.599,621.828
189,-461.131,-59.474,617.057
190,-467.306,-62.431,618.284
191,-475.505,-61.150,618.139
192,-471.282,-62.475,614.078
193,-457.122,-52.191,616.858
194,-463.925,-65.712,621.913
