Reading_Count,Pitch,Yaw,Pitotstatic
0,206.424,-87.979,628.074
1,205.179,-85.179,626.339
2,221.081,-87.357,627.712
3,217.593,-97.685,631.741
4,207.432,-84.465,630.265
5,210.922,-84.689,628.687
6,208.376,-91.943,630.500
7,220.064,-86.188,631.557
8,212.673,-84.692,628.451
9,215.085,-88.635,632.734
10,222.748,-84.123,629.366
11,209.175,-88.307,627.447
12,222.585,-83.780,632.880
13,222.330,-85.977,629.385
14,221.587,-91.285,630.384
15,217.096,-99.948,631.906
16,226.305,-89.529,631.939
17,223.367,-84.239,627.553
18,220.170,-95.882,629.319
19,213.911,-92.061,632.314
20,205.240,-79.252,629.249
21,216.624,-92.186,628.099
22,226.335,-92.491,632.413
23,220.768,-95.979,626.150
24,214.543,-76.908,631.124
25,211.781,-106.100,638.056
26,215.031,-100.444,632.221
27,218.300,-102.910,631.637
28,227.964,-92.671,635.732
29,226.110,-97.913,635.513
30,217.909,-97.067,631.769
31,217.704,-97.869,633.274
32,223.658,-91.017,635.881
33,216.816,-96.400,632.051
34,211.847,-91.246,630.412
35,221.273,-88.376,633.568
36,224.414,-91.026,629.960
37,214.015,-76.277,630.072
38,219.828,-81.022,628.974
39,220.964,-91.752,630.922
40,230.502,-90.245,626.049
41,206.650,-91.618,627.397
42,216.755,-92.730,626.524
43,215.964,-92.228,618.459
44,213.228,-83.657,622.815
45,224.913,-74.939,625.080
46,208.911,-86.380,618.872
47,213.301,-96.853,618.572
48,214.773,-86.456,620.899
49,211.702,-102.735,620.496
50,207.444,-92.027,620.702
51,219.911,-93.814,619.438
52,214.001,-89.292,613.853
53,216.188,-87.567,617.756
54,213.414,-88.113,619.439
55,213.569,-81.231,615.796
56,213.229,-94.613,616.409
57,213.115,-90.538,619.034
58,216.081,-84.286,619.266
59,216.823,-84.129,617.986
60,202.320,-69.334,621.643
61,223.843,-91.153,620.813
62,206.603,-81.186,620.678
63,215.767,-87.755,622.856
64,215.450,-90.709,627.217
65,224.212,-93.604,627.248
66,224.984,-101.397,629.940
67,219.647,-84.627,634.007
68,220.416,-94.340,629.512
69,212.460,-102.950,632.450
70,208.089,-90.182,632.996
71,221.486,-84.397,634.226
72,221.659,-86.376,633.916
73,232.764,-88.413,639.501
74,232.959,-90.440,635.174
75,211.561,-85.364,631.776
76,221.755,-91.220,637.224
77,213.837,-91.212,635.470
78,207.059,-74.485,632.500
79,221.926,-91.662,637.576
80,233.398,-90.350,637.395
81,217.181,-87.060,636.833
82,224.494,-84.731,637.954
83,219.196,-80.704,638.629
84,215.798,-88.999,634.143
85,212.212,-86.055,636.722
86,219.473,-87.248,638.256
87,215.180,-99.890,632.566
88,221.853,-86.797,632.077
89,224.658,-95.548,635.859
90,216.987,-80.957,634.928
91,213.209,-84.214,628.993
92,217.425,-100.451,631.086
93,221.480,-99.342,632.696
94,222.164,-74.795,629.293
95,226.627,-95.117,629.166
96,219.513,-90.344,626.707
97,219.281,-92.649,625.746
98,214.820,-83.448,628.953
99,213.995,-86.221,626.679
100,215.957,-94.874,625.030
101,206.271,-89.457,628.449
102,226.126,-88.563,633.902
103,227.602,-90.859,630.489
104,216.096,-92.490,630.592
105,222.614,-89.433,631.978
106,219.735,-91.096,627.805
107,219.258,-91.998,628.755
108,216.840,-86.414,625.855
109,213.872,-78.011,628.669
110,205.007,-93.181,626.837
111,212.073,-83.777,628.333
112,205.793,-104.891,629.895
113,214.095,-88.818,622.837
114,207.829,-96.745,627.698
115,214.288,-99.308,627.180
116,213.966,-88.027,619.292
117,207.466,-84.588,625.848
118,216.847,-87.361,623.668
119,225.156,-98.439,621.444
120,213.008,-83.482,625.588
121,205.465,-90.214,631.902
122,215.066,-99.264,629.907
123,216.849,-95.525,633.621
124,226.342,-101.666,636.123
125,225.010,-87.138,639.030
126,222.405,-103.889,637.675
127,227.169,-98.780,638.481
128,216.775,-91.188,640.830
129,222.116,-89.027,634.101
130,218.372,-95.372,639.017
131,224.602,-96.832,642.502
132,212.334,-91.739,637.672
133,224.212,-88.018,638.266
134,217.217,-87.278,639.613
135,215.898,-98.125,633.390
136,210.221,-95.096,633.923
137,223.646,-85.263,633.273
138,218.690,-97.502,630.393
139,222.271,-98.009,630.849
140,217.855,-93.785,629.158
141,217.311,-79.451,629.320
142,221.913,-86.458,629.801
143,221.051,-97.349,633.898
144,225.693,-96.077,632.165
145,232.663,-98.512,629.071
146,213.939,-110.515,629.505
147,216.624,-85.892,626.415
148,222.886,-95.845,624.227
149,210.642,-92.231,628.191
150,216.999,-89.115,625.020
151,194.617,-88.753,622.562
152,212.816,-80.731,626.391
153,217.193,-85.591,625.725
154,219.571,-103.333,625.026
155,204.186,-79.366,626.294
156,204.300,-102.708,631.042
157,207.909,-96.877,628.856
158,208.364,-97.007,624.376
159,222.737,-85.272,629.216
160,199.494,-90.758,626.819
161,209.336,-88.821,622.621
162,209.735,-92.939,626.360
163,208.985,-81.121,625.762
164,205.232,-93.166,627.448
165,213.587,-93.716,634.088
166,208.866,-94.871,627.134
167,213.214,-82.601,626.047
168,211.294,-94.316,626.099
169,216.247,-89.541,630.300
170,210.417,-85.546,625.148
171,198.219,-79.320,629.583
172,223.695,-91.282,633.230
173,217.501,-93.569,634.448
174,204.504,-92.272,636.274
175,224.315,-98.097,639.355
176,222.299,-94.657,632.035
177,205.306,-87.162,634.193
178,222.225,-99.368,632.710
179,215.313,-109.310,629.660
180,223.528,-96.046,634.459
181,213.757,-76.427,638.882
182,222.888,-87.103,638.609
183,218.265,-94.635,637.197
184,224.440,-97.278,644.362
185,220.681,-94.459,644.381
186,219.680,-104.098,640.164
187,226.082,-99.048,641.081
188,217.878,-93.954,638.726
189,218.104,-100.029,639.000
190,208.655,-93.545,636.465
191,224.852,-81.816,639.527
192,221.309,-86.673,633.397
193,211.484,-84.234,635.225
194,223.092,-91.414,639.134
195,212.695,-100.158,633.848
196,206.942,-96.595,635.866
197,213.734,-87.494,640.101
198,229.152,-102.796,632.133
199,221.842,-98.030,634.332
