Reading_Count,Pitch,Yaw,Pitotstatic
0,-87.981,-17.015,55.373
1,-87.274,-17.758,55.281
2,-86.360,-16.539,55.144
3,-86.283,-15.764,54.926
4,-84.824,-16.412,55.050
5,-84.751,-17.444,55.366
6,-84.990,-17.056,55.529
7,-84.037,-16.859,55.392
8,-83.992,-16.136,55.976
9,-82.726,-16.395,55.785
10,-83.804,-15.690,55.736
11,-82.621,-15.581,55.843
12,-83.177,-15.812,56.034
13,-81.924,-16.716,56.077
14,-83.361,-16.481,55.897
15,-81.373,-16.225,55.574
16,-81.988,-16.638,55.548
17,-81.784,-16.432,55.887
18,-80.179,-16.285,55.778
19,-80.818,-16.337,56.269
20,-81.318,-15.859,56.299
21,-80.242,-15.171,56.595
22,-80.204,-15.919,56.569
23,-79.922,-15.678,56.431
24,-80.206,-15.188,55.807
25,-79.402,-15.916,55.370
26,-79.604,-15.464,55.453
27,-79.258,-16.005,55.141
28,-80.032,-16.180,55.768
29,-79.534,-15.618,55.536
30,-79.754,-15.781,55.522
31,-79.597,-15.293,55.454
32,-78.926,-16.090,55.792
33,-78.340,-15.556,55.756
34,-77.903,-15.665,55.930
35,-78.552,-15.047,55.686
36,-79.143,-15.503,55.701
37,-78.950,-15.039,55.905
38,-78.487,-14.652,55.279
39,-78.115,-14.696,55.210
40,-77.733,-15.239,55.227
41,-77.692,-15.225,55.270
42,-78.583,-15.339,55.784
43,-78.579,-15.709,55.799
44,-77.399,-15.260,55.566
45,-78.656,-14.866,55.623
46,-77.269,-14.833,55.922
47,-76.796,-14.892,55.891
48,-77.716,-14.158,55.309
49,-77.582,-14.524,55.308
50,-77.671,-14.856,54.912
51,-77.320,-14.663,55.106
52,-78.014,-14.821,55.337
53,-77.109,-15.136,55.363
54,-76.839,-14.593,55.633
55,-76.706,-13.809,55.049
56,-76.794,-14.642,55.363
57,-76.366,-14.538,56.438
58,-78.050,-15.189,56.236
59,-77.462,-14.189,56.412
60,-76.863,-15.630,56.211
61,-76.470,-14.278,55.771
62,-76.594,-15.204,55.896
63,-76.991,-14.837,55.446
64,-75.413,-14.062,55.295
65,-77.284,-14.142,55.393
66,-76.353,-14.237,55.407
67,-76.239,-15.052,55.200
68,-76.978,-14.151,55.254
69,-76.874,-15.130,55.281
70,-75.567,-15.208,55.024
71,-75.823,-14.951,54.710
72,-76.799,-14.360,55.311
73,-76.428,-14.655,54.959
74,-77.189,-13.755,54.998
75,-75.841,-14.994,54.931
76,-75.908,-14.082,55.174
77,-76.296,-14.664,54.955
78,-76.216,-15.368,54.356
79,-76.465,-14.659,55.039
80,-75.486,-14.277,55.093
81,-76.001,-14.462,55.149
82,-75.792,-14.409,55.272
83,-75.614,-13.457,55.122
84,-75.188,-15.290,54.931
85,-76.009,-14.702,54.628
86,-74.374,-14.827,54.672
87,-76.376,-14.303,55.109
88,-75.822,-15.067,54.793
89,-75.705,-14.366,54.930
90,-75.663,-13.986,55.203
91,-75.745,-14.345,54.850
92,-76.227,-14.321,55.039
93,-75.328,-15.487,54.865
94,-74.859,-15.104,55.080
95,-76.243,-15.345,55.336
96,-76.356,-14.753,54.958
97,-75.851,-14.990,54.892
98,-76.148,-15.025,55.518
99,-76.276,-14.776,55.531
100,-75.703,-14.554,55.028
101,-75.816,-14.666,55.663
102,-74.645,-15.120,55.246
103,-75.602,-14.180,55.598
104,-77.424,-14.545,55.503
105,-75.035,-14.850,55.080
106,-76.122,-14.630,54.413
107,-74.948,-13.715,54.468
108,-75.200,-14.603,54.986
109,-76.207,-14.200,55.162
110,-75.474,-13.710,55.108
111,-75.209,-13.990,55.543
112,-75.615,-14.192,55.355
113,-75.346,-14.758,55.570
114,-75.177,-14.553,56.292
115,-76.422,-15.083,56.524
116,-76.085,-14.262,56.497
117,-75.525,-14.962,56.390
118,-75.476,-15.151,56.348
119,-75.150,-14.808,55.954
120,-74.937,-14.938,55.953
121,-74.675,-15.257,55.562
122,-75.251,-14.913,56.019
123,-74.857,-14.792,55.831
124,-74.824,-13.951,55.940
125,-75.193,-14.502,56.146
126,-76.273,-14.466,55.560
127,-75.162,-15.405,55.340
128,-74.847,-14.616,55.655
129,-75.270,-14.164,55.110
130,-76.317,-15.167,55.398
131,-75.732,-14.377,55.192
132,-76.367,-14.679,55.479
133,-75.765,-14.777,55.394
134,-75.212,-15.697,54.918
135,-75.697,-14.750,54.863
136,-75.498,-15.075,55.489
137,-76.037,-14.698,55.476
138,-76.616,-13.795,55.490
139,-76.216,-14.336,55.423
140,-76.288,-14.145,55.369
141,-75.888,-13.366,55.420
142,-74.912,-13.427,55.355
143,-75.845,-14.051,54.850
144,-75.598,-13.817,55.530
145,-75.301,-14.869,55.666
146,-76.396,-14.369,55.234
147,-75.716,-14.040,55.586
148,-75.277,-14.294,55.737
149,-75.003,-14.576,55.110
150,-75.967,-14.292,55.465
151,-74.893,-13.888,55.410
152,-75.848,-14.339,55.545
153,-76.001,-14.753,55.529
154,-75.548,-14.234,55.368
155,-74.953,-15.695,55.205
156,-75.540,-14.407,55.272
157,-76.036,-13.591,55.422
158,-74.596,-14.425,55.408
159,-75.096,-14.127,54.973
160,-75.424,-13.970,54.903
161,-76.134,-13.315,55.709
162,-74.138,-15.566,55.412
163,-75.109,-14.727,55.762
164,-75.620,-13.850,55.572
165,-75.906,-14.234,55.057
166,-75.686,-14.763,55.000
167,-75.621,-14.192,54.646
168,-75.015,-14.285,55.148
169,-75.816,-14.655,55.189
170,-74.685,-14.774,55.352
171,-73.622,-13.925,55.274
172,-74.085,-14.921,55.041
173,-75.924,-14.696,55.017
174,-74.538,-14.760,55.288
175,-75.423,-13.899,55.071
176,-74.010,-14.648,54.853
177,-74.285,-14.672,54.784
178,-75.028,-14.944,54.648
179,-74.737,-13.972,54.945
180,-74.733,-13.437,54.987
181,-75.535,-14.465,54.946
182,-75.451,-13.160,55.300
183,-74.882,-13.030,55.804
184,-73.888,-13.661,55.684
185,-75.608,-14.071,55.666
186,-75.394,-13.844,55.492
187,-75.919,-13.651,55.601
188,-75.466,-14.489,55.113
189,-75.058,-14.205,54.931
190,-74.276,-14.416,54.813
191,-75.147,-14.137,54.975
192,-74.966,-14.314,55.425
193,-74.563,-13.636,55.137
194,-74.602,-13.060,55.302
195,-74.390,-14.123,55.423
196,-74.084,-14.720,55.667
197,-74.338,-14.085,55.761
198,-74.725,-15.145,55.750
199,-74.471,-14.140,55.396
