Reading_Count,Pitch,Yaw,Pitotstatic
0,-33.389,-17.995,53.966
1,-33.328,-17.373,53.830
2,-32.294,-17.905,54.006
3,-33.041,-17.930,53.955
4,-32.694,-17.764,54.406
5,-29.570,-17.965,54.078
6,-32.351,-18.452,53.874
7,-30.683,-17.062,53.943
8,-27.981,-17.538,53.970
9,-30.366,-17.354,53.547
10,-29.283,-17.198,53.808
11,-28.500,-17.181,54.108
12,-27.656,-16.939,54.301
13,-28.312,-16.917,53.786
14,-29.960,-16.500,54.071
15,-29.689,-16.214,53.880
16,-30.585,-17.174,53.746
17,-28.700,-17.172,53.760
18,-28.601,-17.448,53.785
19,-29.164,-15.919,54.114
20,-29.612,-17.162,54.116
21,-28.068,-17.182,54.331
22,-26.110,-16.963,54.100
23,-28.067,-17.426,53.993
24,-26.550,-16.195,53.691
25,-28.167,-17.210,53.802
26,-27.727,-16.877,53.854
27,-26.053,-15.901,53.747
28,-26.381,-16.653,53.693
29,-25.700,-16.118,54.210
30,-25.735,-16.862,53.940
31,-26.017,-17.412,54.346
32,-25.219,-16.398,53.940
33,-25.743,-15.878,54.457
34,-27.723,-16.095,54.240
35,-25.094,-16.797,54.759
36,-24.974,-16.341,54.921
37,-22.677,-16.283,54.402
38,-25.327,-15.481,54.526
39,-24.336,-16.754,54.757
40,-26.585,-15.914,54.460
41,-24.120,-17.089,54.389
42,-25.618,-16.406,54.484
43,-25.863,-16.044,54.567
44,-23.326,-16.372,54.323
45,-24.552,-16.111,54.607
46,-24.959,-15.414,54.937
47,-25.927,-15.202,54.380
48,-23.656,-15.429,54.502
49,-22.620,-16.573,54.964
50,-23.374,-16.278,55.033
51,-24.016,-16.590,54.964
52,-23.845,-16.127,55.397
53,-24.350,-16.158,55.547
54,-23.686,-16.743,55.125
55,-23.171,-15.786,55.236
56,-23.166,-15.445,55.739
57,-24.327,-15.972,55.466
58,-22.706,-16.283,55.550
59,-22.811,-14.925,55.170
60,-22.755,-15.971,54.938
61,-24.776,-16.422,55.332
62,-23.702,-15.964,54.760
63,-23.476,-16.279,55.102
64,-24.134,-15.411,54.844
65,-22.330,-15.000,55.183
66,-24.625,-15.557,55.401
67,-23.502,-15.257,55.593
68,-21.957,-15.600,56.001
69,-25.402,-15.357,55.880
70,-22.995,-15.765,55.091
71,-23.297,-16.564,54.611
72,-22.656,-15.671,54.804
73,-22.209,-15.783,54.927
74,-20.911,-15.302,55.294
75,-20.899,-15.709,55.362
76,-21.400,-15.647,55.908
77,-21.233,-15.762,55.609
78,-23.358,-15.501,56.099
79,-20.959,-16.162,55.525
80,-21.442,-16.867,54.967
81,-21.904,-15.954,55.350
82,-22.405,-16.491,55.105
83,-20.913,-14.892,55.404
84,-24.416,-15.877,55.254
85,-22.478,-16.521,55.048
86,-22.236,-15.420,54.654
87,-22.601,-16.703,55.241
88,-22.419,-16.051,55.322
89,-22.982,-15.059,55.377
90,-21.641,-15.791,55.158
91,-22.406,-15.689,54.492
92,-23.190,-16.390,54.489
93,-23.218,-16.009,54.873
94,-21.472,-16.044,54.589
95,-22.048,-15.782,54.259
96,-22.808,-15.825,54.630
97,-24.433,-15.129,54.805
98,-21.376,-16.477,54.529
99,-22.579,-15.852,54.658
100,-21.706,-15.810,54.668
101,-24.301,-15.636,54.968
102,-22.192,-15.954,55.294
103,-22.857,-16.005,54.967
104,-23.233,-15.504,55.226
105,-24.875,-15.444,55.241
106,-21.475,-15.970,54.586
107,-20.237,-16.161,54.601
108,-23.288,-15.738,55.404
109,-21.379,-15.637,54.712
110,-20.973,-15.087,54.777
111,-22.792,-15.393,54.627
112,-20.136,-15.726,54.505
113,-21.263,-15.189,54.981
114,-22.560,-14.785,54.981
115,-20.531,-15.672,54.983
116,-21.360,-15.775,54.980
117,-20.588,-15.013,55.158
118,-21.845,-15.583,54.777
119,-22.067,-15.845,54.857
120,-22.630,-15.691,55.675
121,-22.915,-15.286,55.346
122,-23.780,-15.583,55.064
123,-23.830,-15.245,54.927
124,-23.359,-14.873,54.911
125,-22.368,-16.272,54.628
126,-23.107,-15.658,54.573
127,-24.450,-15.660,54.778
128,-24.974,-16.195,55.049
129,-22.654,-15.385,54.818
130,-22.447,-15.435,54.899
131,-22.865,-16.017,54.763
132,-22.917,-15.676,55.169
133,-21.609,-15.969,55.009
134,-21.320,-16.415,54.844
135,-23.160,-16.330,53.959
136,-23.598,-15.701,54.492
137,-21.294,-15.880,54.628
138,-21.291,-15.314,55.053
139,-22.160,-14.769,55.063
140,-20.743,-15.804,54.723
141,-21.908,-14.890,54.369
142,-19.885,-15.148,54.900
143,-23.403,-15.087,55.022
144,-23.137,-15.693,55.092
145,-22.087,-15.476,55.007
146,-21.645,-14.662,54.736
147,-20.877,-15.691,54.124
148,-20.899,-14.953,54.929
149,-23.484,-14.688,55.295
150,-23.455,-15.309,54.668
151,-21.898,-15.371,54.411
152,-21.468,-15.602,55.067
153,-22.796,-15.921,55.119
154,-20.075,-15.557,54.765
155,-22.483,-14.676,54.668
156,-22.028,-14.666,55.064
157,-21.459,-15.012,55.243
158,-21.152,-14.420,55.081
159,-21.168,-15.425,55.027
160,-21.610,-15.382,55.270
161,-22.737,-15.152,55.447
162,-23.032,-15.431,55.092
163,-21.917,-15.050,55.515
164,-21.471,-16.226,55.148
165,-21.116,-15.498,55.151
166,-20.557,-16.326,54.835
167,-21.255,-15.168,54.779
168,-22.961,-15.470,54.777
169,-22.199,-15.585,54.767
170,-22.817,-15.387,54.617
171,-20.326,-15.225,55.064
172,-20.319,-15.241,54.889
173,-22.320,-15.722,54.725
174,-21.671,-15.567,54.683
175,-20.879,-14.295,54.506
176,-22.913,-15.368,55.458
177,-25.481,-14.934,55.023
