Reading_Count,Pitch,Yaw,Pitotstatic
0,-25.025,-263.811,595.153
1,-38.440,-261.723,596.744
2,-19.430,-257.470,596.249
3,-36.507,-257.136,592.525
4,-35.503,-260.297,596.163
5,-32.822,-256.245,600.257
6,-24.075,-262.371,597.505
7,-89.713,-267.566,596.665
8,-64.408,-263.976,599.894
9,-80.626,-256.097,594.729
10,-74.780,-260.540,597.125
11,-84.733,-267.303,603.296
12,-82.488,-268.783,600.203
13,-22.700,-264.598,603.321
14,-19.137,-265.752,602.719
15,-24.007,-247.516,597.034
16,-28.397,-258.325,600.393
17,-30.927,-258.428,598.685
18,-15.699,-270.799,596.857
19,-17.252,-273.558,592.108
20,-26.399,-260.128,595.843
21,-27.743,-259.200,594.099
22,-24.537,-251.980,596.199
23,-28.826,-258.323,596.601
24,-27.660,-260.397,601.289
25,-25.952,-255.073,597.603
26,-14.069,-260.616,599.359
27,-18.735,-260.062,605.480
28,-69.572,-273.491,598.471
29,-32.137,-271.814,597.535
30,-16.893,-268.436,601.247
31,-22.584,-266.235,598.764
32,-26.749,-265.514,601.970
33,-73.799,-254.155,602.183
34,-60.944,-259.575,602.805
35,-27.331,-257.681,601.085
36,-22.033,-256.585,605.465
37,-28.335,-260.578,603.607
38,-27.983,-256.649,605.158
39,-81.888,-256.742,604.430
40,-78.240,-257.646,605.752
41,-84.239,-258.152,602.406
42,-62.835,-253.986,605.186
43,-79.533,-272.524,607.951
44,-90.119,-252.704,602.663
45,-12.386,-259.495,605.365
46,-32.975,-262.549,610.780
47,-29.171,-264.769,605.916
48,-21.287,-253.874,605.692
49,-11.893,-264.611,611.044
50,-28.615,-266.465,603.800
51,-14.560,-263.585,607.336
52,-26.158,-253.288,607.995
53,-15.450,-258.763,608.627
54,-27.138,-259.225,606.695
55,-46.459,-272.189,608.896
56,-87.074,-264.819,613.009
57,-80.867,-265.127,603.259
58,-64.257,-266.428,611.226
59,-76.907,-270.211,612.783
60,-19.821,-271.680,609.327
61,-12.842,-261.719,606.474
62,-53.405,-264.495,612.585
63,-26.429,-258.196,607.290
64,-30.526,-265.006,611.115
65,-33.582,-265.060,610.424
66,-41.287,-257.392,605.150
67,-29.529,-254.921,606.860
68,-23.379,-265.587,614.531
69,-25.095,-265.583,608.177
70,-80.310,-258.631,611.712
71,-33.250,-259.494,614.986
72,-8.116,-268.296,608.067
73,-70.182,-268.452,608.443
74,-84.776,-251.488,612.131
75,-3.120,-271.926,610.278
76,-14.342,-269.132,610.574
77,-28.754,-272.676,613.659
78,-19.284,-272.579,611.808
79,-30.402,-269.681,609.421
80,-18.388,-266.059,615.173
81,-20.423,-272.693,614.783
82,-9.594,-271.469,617.562
83,-28.189,-268.250,619.838
84,-36.007,-274.295,619.936
85,-23.874,-260.802,617.887
86,-21.654,-272.335,619.958
87,-79.105,-278.245,619.356
88,-16.306,-265.837,613.415
89,-26.989,-275.754,611.777
90,-27.800,-274.427,611.268
91,-19.881,-256.645,612.505
92,-75.555,-260.996,613.500
93,-61.702,-263.555,610.288
94,-68.302,-263.745,603.659
95,-77.280,-276.133,610.850
96,-84.311,-263.030,608.216
97,-3.972,-249.840,601.917
98,-23.924,-266.216,608.311
99,-19.506,-256.898,607.589
100,-25.332,-258.104,609.409
101,-20.133,-273.399,614.766
102,-21.409,-265.375,613.319
103,-20.454,-268.251,611.797
104,-21.290,-264.115,609.321
105,-11.420,-258.837,614.146
106,-17.432,-262.839,613.888
107,-23.031,-263.579,604.933
108,-11.017,-266.717,607.551
109,-68.315,-252.329,609.383
110,-55.167,-260.076,603.662
111,-40.077,-273.453,608.717
112,-90.964,-267.961,607.165
113,-85.188,-279.484,607.969
114,-84.632,-268.226,613.768
115,-75.727,-272.271,617.013
116,-11.699,-269.319,612.601
117,-22.984,-273.030,612.302
118,-27.637,-268.466,614.040
119,-13.619,-271.123,610.055
120,-25.758,-265.716,611.543
121,-13.894,-252.634,618.681
122,-10.937,-263.849,611.557
123,-15.954,-258.318,614.084
124,-15.059,-264.477,615.663
125,-22.766,-270.967,615.749
126,-20.005,-264.272,614.008
127,-18.532,-271.863,614.323
128,-8.154,-278.078,613.607
129,-38.010,-263.515,611.154
130,-22.651,-262.601,611.146
131,-23.664,-268.058,614.622
132,-9.961,-260.841,613.148
133,-12.222,-272.006,613.520
134,-22.081,-256.717,616.981
135,-10.128,-274.848,616.143
136,-22.533,-275.422,615.186
137,-23.458,-268.324,615.883
138,-10.048,-274.194,612.303
139,-3.488,-266.235,610.018
140,-16.010,-265.178,615.203
141,-6.207,-274.073,612.809
142,-28.505,-259.622,606.025
143,-74.478,-265.487,615.179
144,-88.217,-285.398,612.192
145,-14.266,-248.804,608.397
146,-20.003,-258.991,613.493
147,-9.264,-268.274,606.093
148,-7.872,-256.914,609.787
149,-10.844,-261.714,610.035
150,-15.431,-270.295,605.508
151,-17.287,-251.929,602.693
152,-7.847,-256.736,607.648
153,-8.305,-266.938,608.532
154,-18.997,-250.868,605.455
155,-22.379,-256.560,606.611
156,-25.740,-267.474,605.923
