Reading_Count,Pitch,Yaw,Pitotstatic
0,-42.357,606.816,578.493
1,-49.614,605.991,577.515
2,-50.911,620.322,582.056
3,-47.324,622.235,579.605
4,-48.617,618.907,578.010
5,-42.809,621.752,577.140
6,-46.997,621.392,583.350
7,-39.995,624.207,582.153
8,-37.149,625.147,584.774
9,-37.514,621.239,585.092
10,-35.063,619.414,584.609
11,-58.154,624.013,585.858
12,-55.174,624.073,587.709
13,-38.838,628.857,588.856
14,-34.155,627.176,586.341
15,-35.175,623.451,583.615
16,-33.316,612.108,580.527
17,-37.231,624.030,576.645
18,-38.766,646.782,581.998
19,-43.107,626.641,579.117
20,-29.638,631.891,581.968
21,-36.292,613.367,583.412
22,-31.401,616.796,586.274
23,-37.236,612.873,583.320
24,-24.447,607.351,583.515
25,-31.945,604.127,584.360
26,-36.883,620.211,582.614
27,-29.386,622.465,589.324
28,-41.608,616.668,590.322
29,-35.122,616.756,583.628
30,-36.082,616.156,587.194
31,-46.380,616.972,586.415
32,-43.445,613.457,580.633
33,-41.643,617.895,578.826
34,-40.955,616.758,583.141
35,-35.329,602.139,581.548
36,-48.778,624.463,582.604
37,-39.295,625.269,579.844
38,-35.479,638.627,579.921
39,-30.682,609.119,579.295
40,-46.179,620.365,576.431
41,-34.580,620.296,580.794
42,-37.407,609.520,577.995
43,-28.353,605.721,577.496
44,-27.506,623.511,579.869
45,-34.413,604.324,573.531
46,-42.975,621.271,576.635
47,-44.104,627.572,582.466
48,-32.932,614.928,580.929
49,-47.045,614.762,583.834
50,-40.873,634.104,579.796
51,-26.260,621.517,580.825
52,-38.206,620.198,576.535
53,-35.772,615.323,583.568
54,-36.674,604.422,577.973
55,-33.857,611.492,574.957
56,-38.343,598.107,576.499
57,-27.850,618.788,579.473
58,-35.525,607.688,575.672
59,-29.362,614.174,581.752
60,-42.695,629.599,581.322
61,-28.406,631.280,578.821
62,-30.362,629.953,581.073
63,-42.591,631.038,580.849
64,-15.175,635.881,578.947
65,-31.501,609.777,574.599
66,-42.363,624.721,581.690
67,-29.493,620.049,580.455
68,-39.247,612.879,575.233
69,-21.068,608.009,576.382
70,-30.005,623.694,578.164
71,-27.634,615.010,577.296
72,-43.532,613.503,574.395
73,-36.527,615.002,582.979
74,-34.383,633.971,576.640
75,-26.876,620.822,581.156
76,-39.553,612.153,577.170
77,-30.832,611.514,572.496
78,-30.418,615.238,573.206
79,-44.702,625.967,580.329
80,-41.533,616.618,575.891
81,-41.119,609.123,570.825
82,-60.558,607.648,576.188
83,-39.935,610.212,578.894
84,-31.255,608.846,574.860
85,-40.338,609.359,579.006
86,-37.675,609.373,574.487
87,-23.133,604.331,573.548
88,-38.864,603.136,576.050
89,-47.646,614.070,575.567
90,-34.266,615.728,573.547
91,-42.248,591.454,574.043
92,-40.441,614.374,578.172
93,-33.319,626.114,573.078
94,-35.433,621.973,574.896
95,-34.258,610.603,575.333
96,-27.364,609.892,578.223
97,-29.595,596.288,573.888
98,-33.600,600.133,578.535
99,-35.604,610.552,576.662
100,-28.741,608.835,575.459
101,-33.684,621.391,575.762
102,-26.172,623.698,578.108
103,-21.622,615.470,577.273
104,-24.483,610.477,583.398
105,-25.626,615.312,582.458
106,-13.620,611.189,580.611
107,-45.295,614.794,584.567
108,-34.692,618.614,583.105
109,-38.992,620.718,578.761
110,-44.611,612.564,580.458
111,-32.526,626.608,579.397
112,-31.998,610.228,574.138
113,-47.605,603.981,576.091
114,-32.968,607.670,578.891
115,-26.862,614.250,579.548
116,-32.814,607.912,580.587
117,-20.381,611.999,582.381
118,-24.445,619.839,581.676
119,-26.732,603.125,579.317
120,-31.850,604.931,580.614
121,-28.884,619.197,585.237
122,-37.737,614.852,580.580
123,-26.519,615.133,578.022
124,-36.232,628.687,584.831
125,-33.735,629.363,577.819
126,-29.000,611.846,579.384
127,-30.170,614.509,584.262
128,-31.733,612.840,580.221
129,-23.514,616.974,579.515
130,-28.201,617.652,584.414
131,-28.063,617.582,580.522
132,-26.842,610.526,579.592
133,-32.206,627.001,580.825
134,-19.170,628.549,582.755
135,-34.489,616.749,579.118
136,-35.021,605.281,576.823
137,-28.803,605.101,580.870
138,-42.772,615.791,577.607
139,-24.060,611.774,576.103
140,-41.945,604.408,576.352
141,-26.923,613.574,579.296
142,-32.534,620.278,578.686
143,-49.401,608.068,578.739
144,-19.253,611.152,578.960
145,-32.323,613.426,577.308
146,-36.868,607.991,582.025
147,-27.671,618.049,581.697
148,-33.904,622.093,581.539
149,-30.547,612.100,584.371
150,-28.663,612.442,585.971
151,-32.136,604.674,582.999
152,-27.989,608.033,577.920
153,-24.502,621.820,579.294
154,-24.946,609.328,579.199
155,-39.876,611.248,574.454
156,-31.473,608.918,578.553
157,-22.239,599.668,580.562
158,-35.719,602.604,574.304
159,-31.989,604.231,574.088
160,-20.411,606.225,578.261
161,-30.167,614.362,576.568
162,-35.313,600.911,577.814
163,-37.032,605.974,577.141
164,-30.474,594.677,576.178
165,-31.479,606.713,576.332
166,-34.782,603.964,576.665
167,-28.776,608.495,573.416
168,-28.922,606.628,573.684
169,-29.049,604.052,573.185
170,-33.825,609.722,575.565
171,-33.335,607.001,574.694
172,-26.690,616.142,575.529
173,-27.411,615.668,575.429
174,-36.267,596.569,569.213
175,-27.648,604.067,573.043
176,-33.560,601.836,579.914
177,-33.083,657.931,574.912
178,-26.155,612.241,576.792
179,-33.584,603.245,575.798
180,-32.968,616.597,574.865
181,-25.499,606.589,571.764
182,-36.751,613.010,572.616
183,-32.431,602.674,572.605
184,-28.666,607.190,569.741
185,-35.456,643.999,571.496
186,-32.122,615.243,571.262
187,-26.292,610.174,570.022
188,-35.142,602.781,572.047
189,-36.237,604.709,572.203
190,-30.673,608.834,568.236
191,-39.195,609.345,571.383
192,-30.081,599.161,570.151
193,-38.988,593.698,569.338
194,-42.757,602.255,571.499
195,-27.957,608.533,572.399
196,-24.649,608.205,567.247
197,-31.885,602.645,568.328
198,-36.232,597.063,573.268
199,-27.263,601.523,571.441
