Reading_Count,Pitch,Yaw,Pitotstatic
0,-87.281,-67.504,54.166
1,-87.197,-67.520,54.496
2,-86.169,-66.298,54.536
3,-85.450,-65.833,54.158
4,-84.050,-66.648,54.144
5,-84.989,-68.714,53.916
6,-83.837,-73.764,54.350
7,-83.428,-66.692,54.231
8,-82.863,-66.333,54.885
9,-82.494,-67.135,54.528
10,-82.050,-66.896,53.999
11,-81.032,-67.000,54.628
12,-82.949,-68.402,54.053
13,-81.138,-66.619,54.201
14,-80.389,-65.222,53.932
15,-80.304,-65.231,53.892
16,-80.196,-65.273,53.621
17,-79.770,-65.820,53.826
18,-79.780,-66.676,53.485
19,-79.017,-64.691,54.018
20,-78.858,-67.326,53.836
21,-79.123,-66.478,54.207
22,-79.064,-65.361,53.718
23,-78.731,-65.788,54.086
24,-77.916,-64.454,54.762
25,-78.307,-64.719,53.783
26,-78.611,-64.297,53.649
27,-78.766,-65.377,53.459
28,-77.907,-64.713,53.077
29,-77.390,-66.515,53.119
30,-78.359,-68.641,53.936
31,-77.661,-66.373,54.277
32,-76.568,-64.229,54.169
33,-76.687,-68.178,54.671
34,-76.816,-66.199,53.827
35,-77.030,-68.567,54.128
36,-77.464,-64.103,54.443
37,-77.473,-62.848,54.291
38,-76.420,-64.233,53.771
39,-75.500,-66.621,53.530
40,-76.707,-65.416,53.923
41,-76.752,-66.334,54.644
42,-76.393,-66.794,54.318
43,-77.867,-65.212,54.006
44,-75.552,-65.670,53.407
45,-76.344,-64.001,53.393
46,-76.263,-63.965,54.169
47,-75.664,-65.576,53.120
48,-76.473,-65.184,53.693
49,-76.225,-64.635,52.959
50,-75.728,-64.135,53.259
51,-76.579,-64.540,53.516
52,-75.990,-63.597,53.271
53,-76.448,-63.195,53.447
54,-76.448,-64.220,52.974
55,-75.977,-62.579,53.437
56,-75.913,-63.695,53.313
57,-76.011,-62.417,53.926
58,-75.931,-63.098,54.048
59,-74.605,-64.280,53.653
60,-76.315,-64.371,53.138
61,-76.297,-63.682,53.093
62,-75.635,-64.787,52.917
63,-76.000,-65.317,52.673
64,-75.023,-64.129,53.314
65,-76.087,-64.606,53.764
66,-75.603,-64.085,53.301
67,-75.967,-63.246,53.787
68,-76.258,-64.204,53.829
69,-75.652,-63.520,53.585
70,-75.796,-63.169,53.436
71,-75.099,-63.904,54.117
72,-75.320,-63.725,54.266
73,-74.818,-63.627,53.573
74,-75.996,-63.175,53.369
75,-74.763,-64.566,52.972
76,-75.188,-63.728,52.905
77,-75.898,-63.662,53.206
78,-75.934,-65.292,53.314
79,-76.020,-63.936,53.126
80,-74.808,-64.150,53.422
81,-75.570,-62.133,52.866
82,-75.382,-64.871,52.565
83,-75.324,-63.421,52.961
84,-74.874,-62.894,53.168
85,-75.112,-63.494,53.396
86,-75.521,-63.533,53.844
87,-74.847,-64.893,52.772
88,-74.501,-63.486,53.274
89,-74.596,-63.868,53.041
90,-75.953,-63.623,53.997
91,-75.534,-63.835,53.670
92,-74.316,-63.114,53.836
93,-74.559,-63.123,52.881
94,-74.831,-64.641,52.783
95,-75.723,-66.498,52.892
96,-74.724,-66.963,53.464
97,-74.636,-64.458,53.669
98,-74.200,-63.474,53.752
99,-74.019,-64.545,54.090
100,-74.377,-66.415,54.161
101,-75.633,-66.390,54.339
102,-75.217,-63.499,53.424
103,-74.480,-63.726,53.820
104,-75.204,-63.369,54.649
105,-75.591,-65.580,54.390
106,-74.801,-65.030,54.023
107,-74.919,-65.504,54.257
108,-74.337,-66.810,54.543
109,-74.632,-63.873,54.814
110,-74.920,-63.334,54.502
111,-75.852,-67.453,54.733
112,-75.605,-64.013,54.269
113,-74.960,-63.920,54.774
114,-75.404,-63.910,54.939
115,-74.492,-64.193,54.611
116,-75.057,-65.653,54.065
117,-74.365,-64.870,54.474
118,-74.518,-67.832,53.817
119,-74.065,-63.848,53.872
120,-73.481,-65.446,53.985
121,-74.002,-64.985,53.763
122,-74.106,-67.437,53.438
123,-74.529,-66.954,53.506
124,-74.809,-67.202,53.670
125,-74.181,-64.088,53.983
126,-73.955,-64.969,54.229
127,-73.614,-63.544,54.637
128,-74.175,-66.775,53.644
129,-75.597,-64.466,53.889
130,-74.711,-64.114,53.900
131,-74.914,-64.272,54.050
132,-74.388,-63.979,54.447
133,-75.881,-65.018,53.766
134,-73.973,-63.524,53.466
135,-74.384,-65.480,53.386
136,-75.146,-63.139,53.639
137,-73.813,-64.815,54.036
138,-75.059,-63.239,53.560
139,-74.556,-64.383,53.765
140,-75.058,-63.404,53.723
141,-74.774,-63.012,53.724
142,-74.488,-64.289,53.124
143,-74.233,-62.768,53.821
144,-74.623,-62.976,53.055
145,-74.465,-63.713,52.973
146,-72.886,-63.169,52.675
147,-74.873,-63.016,53.685
148,-74.652,-63.470,53.452
149,-74.398,-64.803,53.070
150,-73.534,-62.620,53.423
151,-75.899,-64.067,53.753
152,-74.263,-63.581,54.172
153,-74.304,-64.380,53.670
154,-73.903,-64.397,53.453
155,-74.157,-65.193,53.670
156,-74.325,-65.771,54.132
157,-74.408,-63.888,53.860
158,-74.397,-65.148,54.666
159,-75.359,-65.079,53.698
160,-74.544,-65.544,54.145
161,-74.893,-64.824,54.066
162,-74.157,-63.889,52.934
163,-74.549,-63.704,53.195
164,-74.250,-64.473,53.044
165,-73.892,-63.187,53.915
166,-74.215,-62.801,53.682
167,-74.409,-65.592,53.561
168,-73.899,-62.858,53.165
169,-74.300,-63.647,53.302
170,-75.027,-64.187,53.641
171,-74.535,-63.356,53.969
172,-75.014,-64.173,53.221
173,-75.148,-63.677,53.317
174,-74.545,-63.633,53.629
175,-74.001,-63.855,53.602
176,-75.327,-63.870,54.177
177,-73.997,-65.794,54.012
178,-73.328,-65.865,53.615
179,-74.186,-64.781,53.384
180,-74.770,-65.889,53.794
181,-75.073,-63.577,53.290
182,-74.230,-63.518,53.439
183,-73.989,-62.622,53.372
184,-73.420,-63.336,53.466
185,-74.662,-64.735,53.945
186,-74.356,-67.742,53.631
187,-74.228,-65.232,53.875
188,-74.208,-66.010,53.644
189,-73.952,-65.616,53.127
190,-74.251,-64.637,53.465
191,-73.901,-65.174,54.310
192,-73.566,-64.813,53.206
193,-73.965,-63.221,53.357
194,-74.153,-67.360,52.908
195,-73.789,-64.104,53.601
196,-73.563,-65.738,53.576
197,-73.796,-63.567,53.712
198,-73.417,-63.166,53.918
199,-73.050,-63.899,53.617
