Reading_Count,Pitch,Yaw,Pitotstatic
0,-81.825,41.456,47.059
1,-81.562,41.233,47.088
2,-80.485,41.482,47.225
3,-79.606,40.597,47.092
4,-79.495,40.597,47.214
5,-78.672,40.441,46.833
6,-77.575,41.067,47.759
7,-77.864,41.148,47.379
8,-77.238,42.398,47.446
9,-76.505,41.581,47.473
10,-76.460,42.220,47.526
11,-75.591,42.499,47.554
12,-76.026,41.275,47.925
13,-75.724,42.215,47.722
14,-75.676,42.546,47.545
15,-75.274,42.116,47.804
16,-74.710,41.618,47.573
17,-74.024,42.642,47.533
18,-73.536,42.550,48.089
19,-73.670,42.082,47.832
20,-74.000,41.905,47.546
21,-74.589,43.379,47.791
22,-73.884,42.391,47.888
23,-73.396,43.362,48.637
24,-73.029,43.150,48.200
25,-73.314,42.059,48.133
26,-72.565,43.415,47.751
27,-72.501,43.876,48.094
28,-73.402,43.107,47.901
29,-72.366,42.723,47.889
30,-72.722,42.440,47.709
31,-72.343,42.313,47.750
32,-72.202,42.708,48.201
33,-72.691,42.441,48.433
34,-71.858,41.671,48.133
35,-72.104,42.181,47.970
36,-72.040,42.621,48.119
37,-72.235,42.374,47.671
38,-71.484,42.752,47.739
39,-72.755,42.418,47.466
40,-72.306,42.605,47.605
41,-72.305,42.845,47.303
42,-71.661,42.546,47.424
43,-72.019,42.549,47.602
44,-71.774,43.076,47.494
45,-71.642,42.575,47.410
46,-71.085,42.829,47.657
47,-71.680,42.781,47.915
48,-71.740,42.517,47.523
49,-71.757,42.351,47.631
50,-71.054,42.016,47.480
51,-71.366,42.744,48.092
52,-70.599,42.446,47.629
53,-71.346,42.430,47.671
54,-71.280,42.871,47.359
55,-71.234,43.044,46.842
56,-70.792,42.631,47.809
57,-70.893,43.274,47.522
58,-70.446,42.406,47.905
59,-70.641,42.494,47.007
60,-69.788,43.286,47.783
61,-69.981,42.957,47.892
62,-69.555,44.117,48.067
63,-70.152,43.089,47.999
64,-69.809,43.846,48.229
65,-69.704,42.757,48.191
66,-69.867,42.708,47.919
67,-70.234,42.523,47.728
68,-70.594,42.927,47.428
69,-70.072,43.635,47.265
70,-70.217,43.416,47.781
71,-70.242,43.886,48.040
72,-70.196,42.818,48.119
73,-69.952,43.108,47.959
74,-70.002,43.764,48.422
75,-70.192,43.447,48.857
76,-69.871,43.815,48.760
77,-69.592,43.261,48.274
78,-69.204,44.067,48.381
79,-70.059,43.413,48.080
80,-69.802,43.934,47.688
81,-70.495,43.448,47.865
82,-70.135,42.577,47.495
83,-70.176,42.796,47.522
84,-69.909,42.326,47.850
85,-69.849,42.565,48.013
86,-68.626,42.482,47.536
87,-69.835,42.701,47.196
88,-69.509,43.171,47.334
89,-69.243,42.536,47.291
90,-69.415,42.350,47.333
91,-69.646,43.795,47.850
92,-70.043,43.359,47.812
93,-69.188,43.193,47.974
94,-68.953,42.644,48.084
95,-68.907,43.065,48.150
96,-68.952,42.227,48.149
97,-68.658,42.880,48.273
98,-68.708,41.876,47.986
99,-69.281,43.116,48.246
100,-69.023,42.818,48.054
