Reading_Count,Pitch,Yaw,Pitotstatic
0,-230.572,-166.271,106.939
1,-235.454,-166.541,105.243
2,-233.471,-167.631,108.551
3,-232.856,-162.718,106.395
4,-233.743,-161.548,110.250
5,-233.450,-169.582,107.368
6,-232.268,-164.953,102.896
7,-232.432,-165.838,105.866
8,-235.119,-165.094,109.062
9,-233.478,-165.835,110.195
10,-231.467,-169.997,109.544
11,-230.527,-168.811,107.632
12,-235.701,-167.065,110.682
13,-236.876,-167.940,105.852
14,-229.201,-165.717,105.182
15,-232.065,-164.054,106.146
16,-232.247,-164.609,109.932
17,-229.013,-165.375,108.951
18,-230.486,-164.838,107.738
19,-231.445,-165.033,105.174
20,-226.602,-165.521,106.501
21,-225.683,-170.661,109.735
22,-233.946,-169.503,110.469
23,-228.705,-171.111,107.809
24,-227.548,-166.982,108.192
25,-227.995,-166.273,109.444
26,-230.519,-163.772,107.057
27,-225.997,-168.071,109.731
28,-229.307,-165.973,111.701
29,-228.630,-170.666,109.805
30,-227.037,-162.419,109.918
31,-231.285,-164.826,109.393
32,-229.535,-164.769,108.675
33,-232.889,-163.700,107.011
34,-230.096,-165.437,105.246
35,-226.734,-164.029,107.813
36,-230.697,-169.704,113.241
37,-227.915,-171.314,108.777
38,-228.799,-168.392,108.314
39,-229.200,-168.523,110.421
40,-230.413,-165.983,110.844
41,-234.919,-167.886,109.750
42,-234.363,-173.528,110.677
43,-229.617,-164.258,112.783
44,-230.019,-167.140,108.619
45,-228.124,-169.066,107.939
46,-227.545,-169.772,107.959
47,-228.176,-164.743,110.776
48,-228.354,-168.285,109.692
49,-229.921,-165.093,111.749
50,-229.451,-168.694,112.334
51,-228.035,-169.474,109.698
52,-225.174,-168.194,107.878
53,-227.929,-167.005,111.552
54,-226.760,-166.383,110.731
55,-228.070,-164.958,111.515
56,-230.059,-164.953,112.972
57,-236.015,-172.664,110.869
58,-225.833,-168.077,111.293
59,-228.179,-166.570,106.056
60,-226.209,-168.477,110.324
61,-231.388,-170.212,106.266
62,-225.627,-167.021,110.902
63,-231.990,-168.772,110.960
64,-229.014,-169.340,110.492
