Reading_Count,Pitch,Yaw,Pitotstatic
0,-12.244,53.144,108.417
1,-14.647,51.927,107.978
2,-11.870,51.968,107.546
3,-11.063,52.505,106.964
4,-10.403,52.825,107.412
5,-13.988,51.012,107.663
6,-12.365,52.918,107.495
7,-11.736,52.145,106.872
8,-10.375,53.223,106.820
9,-13.466,53.286,106.777
10,-9.678,52.858,107.504
11,-11.390,54.027,106.384
12,-12.592,54.282,105.812
13,-11.585,53.941,106.292
14,-13.085,52.870,106.318
15,-11.180,52.261,106.172
16,-12.084,53.724,106.445
17,-9.561,52.467,107.138
18,-11.395,52.300,106.989
19,-10.446,53.983,106.826
20,-10.207,52.950,106.926
21,-10.953,56.060,106.610
22,-10.551,54.686,107.722
23,-10.356,54.436,107.425
24,-11.372,52.367,106.927
25,-7.603,54.018,107.135
26,-9.310,53.935,107.538
27,-10.599,52.818,106.630
28,-6.875,52.363,106.984
29,-9.943,53.061,107.246
30,-9.588,53.553,107.194
31,-7.585,53.997,106.594
32,-9.105,52.609,107.067
33,-7.557,53.052,106.636
34,-7.307,53.123,106.857
35,-6.681,53.057,107.060
36,-8.923,55.011,106.947
37,-8.572,53.522,107.688
38,-9.544,54.151,107.119
39,-7.157,52.526,107.044
40,-7.526,53.036,107.101
41,-8.022,53.191,107.676
42,-7.903,54.278,106.382
43,-8.329,54.415,106.996
44,-7.254,54.401,107.958
45,-10.808,52.097,106.664
46,-7.772,52.794,106.951
47,-8.423,52.203,106.484
48,-7.069,54.406,106.008
49,-8.134,53.543,106.637
50,-6.871,54.103,105.409
51,-8.814,55.086,106.773
52,-9.863,52.784,105.504
53,-8.167,53.884,104.627
54,-7.621,50.920,105.288
55,-9.698,52.783,104.975
56,-8.387,52.733,105.014
57,-8.376,52.650,104.717
58,-9.367,52.975,104.819
59,-10.398,51.234,104.152
60,-7.249,52.656,105.130
61,-8.047,51.068,106.027
62,-6.877,51.746,105.553
63,-7.738,50.784,106.122
64,-10.638,53.070,104.692
65,-7.243,51.532,105.686
66,-8.445,51.208,104.951
67,-7.891,52.259,105.003
68,-7.408,51.651,103.777
69,-7.952,52.075,104.091
70,-7.380,52.499,104.540
71,-8.858,52.823,104.996
72,-8.110,53.449,105.082
73,-8.512,52.279,105.660
74,-6.413,52.685,105.702
75,-7.401,53.988,106.185
76,-8.217,53.228,105.923
77,-6.563,52.331,105.621
78,-7.634,53.564,106.093
79,-7.404,53.853,106.340
80,-8.738,53.636,105.738
81,-8.658,53.655,106.009
82,-6.477,53.488,106.522
83,-9.612,55.097,106.498
84,-7.314,55.351,106.592
85,-8.040,53.303,107.025
86,-8.380,54.152,106.639
87,-7.153,55.623,106.762
88,-9.078,54.304,107.251
89,-8.733,54.878,106.865
90,-8.403,52.834,107.036
91,-7.017,52.920,106.924
92,-6.212,52.937,106.685
93,-6.936,54.645,107.185
94,-6.659,55.508,107.784
95,-5.286,54.139,107.866
96,-5.248,54.088,107.989
97,-5.594,54.563,107.282
98,-5.832,55.342,107.593
99,-7.131,54.919,107.405
100,-7.135,54.362,107.479
101,-7.743,55.107,107.035
102,-6.034,55.325,107.398
103,-6.894,54.278,107.103
104,-6.106,53.602,107.595
105,-3.943,53.736,107.238
106,-7.538,55.767,106.882
107,-7.136,54.739,107.145
108,-6.243,53.639,106.532
109,-6.289,53.520,106.256
110,-8.201,54.502,107.048
111,-5.450,54.164,106.745
112,-6.434,53.980,106.969
113,-8.514,55.012,107.790
114,-6.587,55.165,107.619
115,-6.119,54.877,106.671
116,-6.143,55.369,106.993
117,-6.938,54.574,106.149
118,-6.132,52.798,106.780
119,-7.338,53.712,105.643
120,-4.938,51.855,105.947
121,-6.634,52.310,105.480
122,-6.711,52.853,104.886
123,-8.364,53.748,106.147
124,-7.665,53.444,106.319
125,-7.894,52.837,106.051
126,-7.147,52.989,105.731
127,-6.169,52.296,106.091
128,-7.404,53.697,105.979
129,-7.684,55.877,106.292
130,-8.980,53.412,106.091
131,-7.937,53.598,105.902
132,-8.556,55.052,105.920
133,-8.041,53.551,106.123
134,-8.159,54.548,105.773
135,-7.582,54.905,106.764
136,-9.743,53.419,106.617
137,-6.646,54.195,107.142
138,-6.447,53.620,105.845
139,-5.876,54.398,105.947
140,-5.008,54.010,106.314
141,-7.523,53.046,106.630
142,-8.007,54.129,105.933
143,-7.122,54.300,105.588
144,-7.886,53.423,105.238
145,-4.437,54.133,105.507
146,-8.172,54.203,104.886
147,-6.526,53.039,105.178
148,-7.645,55.472,105.153
149,-4.601,54.884,105.602
150,-6.720,52.518,104.823
151,-7.033,55.680,105.251
152,-8.585,56.726,104.956
153,-6.575,53.689,105.504
154,-6.817,54.600,105.647
155,-8.167,52.491,105.076
156,-4.308,51.867,105.119
157,-6.331,52.523,105.515
158,-8.007,53.185,104.890
159,-7.438,53.809,105.140
160,-6.822,54.671,105.271
161,-6.210,53.827,105.818
162,-6.516,53.373,105.302
163,-4.643,55.888,105.984
164,-6.549,54.893,105.982
165,-6.657,53.526,105.746
166,-5.621,53.190,106.721
167,-7.099,55.044,106.210
168,-6.783,55.618,105.628
169,-6.763,54.638,106.065
170,-7.560,54.874,105.953
171,-6.172,55.176,106.122
172,-5.261,54.166,106.613
173,-7.768,53.457,106.986
174,-6.103,55.738,106.139
175,-6.554,52.279,106.556
176,-7.032,54.945,106.260
177,-6.692,54.019,106.440
178,-5.925,52.704,106.261
179,-6.737,54.342,107.148
180,-6.409,51.541,106.613
181,-5.651,52.823,106.194
182,-5.870,53.397,105.725
183,-6.448,53.969,106.833
184,-5.209,55.706,106.369
185,-6.419,54.779,105.878
186,-8.011,54.374,106.164
187,-5.937,52.723,105.061
188,-7.213,53.517,105.961
189,-6.240,53.989,105.793
