Reading_Count,Pitch,Yaw,Pitotstatic
0,-265.776,-12.043,108.861
1,-265.156,-13.636,108.769
2,-265.829,-13.821,108.841
3,-266.163,-12.830,109.161
4,-265.948,-14.315,108.174
5,-264.180,-13.007,109.005
6,-261.665,-14.184,108.536
7,-266.287,-12.528,108.586
8,-261.952,-13.521,108.251
9,-261.595,-13.514,108.232
10,-262.270,-12.616,108.199
11,-262.523,-11.934,106.822
12,-261.163,-11.698,107.751
13,-260.254,-12.747,108.425
14,-261.313,-14.655,108.010
15,-259.481,-13.593,107.017
16,-260.601,-13.293,107.920
17,-261.198,-14.623,107.054
18,-258.534,-12.327,107.288
19,-260.254,-10.895,107.581
20,-257.996,-12.900,107.686
21,-257.718,-11.586,106.804
22,-259.442,-12.188,106.722
23,-259.874,-12.745,107.080
24,-257.361,-12.060,106.708
25,-258.631,-12.898,106.834
26,-258.968,-13.161,108.186
27,-258.091,-13.183,107.313
28,-259.366,-12.516,108.090
29,-257.791,-12.151,107.022
30,-258.565,-13.341,108.604
31,-259.177,-13.622,107.066
32,-257.827,-11.979,109.019
33,-257.028,-12.500,108.677
34,-259.417,-12.508,107.253
35,-258.316,-12.753,107.251
36,-259.608,-13.528,107.589
37,-256.364,-10.908,107.013
38,-255.238,-12.275,108.905
39,-256.721,-11.705,109.193
40,-257.548,-12.780,108.430
41,-256.584,-13.552,109.752
42,-257.189,-11.096,109.266
43,-257.374,-12.711,108.078
44,-258.266,-11.826,109.025
45,-257.375,-12.681,107.249
46,-255.353,-13.415,107.690
47,-258.709,-13.226,108.366
48,-257.221,-11.943,107.673
49,-256.251,-11.599,109.491
50,-255.857,-12.879,108.452
51,-260.245,-13.807,107.768
52,-257.870,-13.694,108.029
53,-254.362,-13.111,107.853
54,-256.640,-11.551,107.745
55,-257.489,-12.591,108.839
56,-258.777,-11.521,108.585
57,-256.300,-10.367,107.797
58,-252.325,-13.223,108.282
59,-253.318,-12.625,107.464
60,-253.205,-14.188,106.376
61,-252.521,-12.760,107.596
62,-254.192,-13.994,107.007
63,-252.138,-11.925,108.224
64,-254.843,-13.592,106.775
65,-254.247,-12.496,107.277
66,-255.313,-14.078,105.555
67,-256.290,-12.522,107.300
68,-253.169,-14.180,107.215
69,-255.678,-11.650,107.268
70,-251.494,-13.327,105.494
71,-251.751,-12.119,106.029
72,-250.880,-12.639,107.372
73,-252.191,-12.496,106.861
74,-253.638,-12.941,106.346
75,-250.516,-12.614,105.576
76,-252.554,-11.956,105.782
77,-251.147,-11.562,105.152
78,-250.800,-11.487,104.953
79,-249.407,-13.081,104.854
