Reading_Count,Pitch,Yaw,Pitotstatic
0,-381.939,-33.532,305.268
1,-380.486,-30.178,303.908
2,-380.405,-27.584,303.445
3,-377.640,-30.119,303.192
4,-381.303,-23.321,302.064
5,-375.884,-28.897,303.487
6,-377.001,-20.912,302.944
7,-380.734,-27.863,301.691
8,-370.178,-22.846,303.165
9,-370.676,-33.374,303.594
10,-375.606,-27.490,303.679
11,-371.101,-21.561,306.235
12,-370.462,-20.538,306.307
13,-376.896,-24.736,306.157
14,-374.752,-26.047,306.539
15,-376.176,-23.053,307.142
16,-380.781,-24.160,306.038
17,-379.935,-31.412,303.950
18,-375.726,-21.611,303.988
19,-366.212,-19.236,302.761
20,-377.061,-25.307,303.748
21,-373.692,-25.440,301.745
22,-369.700,-27.941,302.190
23,-375.094,-26.061,300.857
24,-374.561,-31.885,299.780
25,-379.813,-27.926,301.134
26,-367.648,-27.654,302.716
27,-379.042,-27.817,303.471
28,-373.145,-23.022,301.886
29,-368.724,-26.714,301.619
30,-368.345,-22.159,300.839
31,-373.930,-25.666,301.172
32,-378.032,-25.459,301.824
33,-362.387,-28.881,302.221
34,-375.149,-23.202,303.037
35,-370.950,-31.858,302.072
36,-367.170,-28.793,302.838
37,-372.681,-23.308,301.771
38,-372.573,-27.209,301.371
39,-361.358,-22.147,303.143
40,-368.124,-33.657,301.365
41,-370.273,-23.595,304.444
42,-378.932,-23.362,305.644
43,-367.461,-21.518,303.248
44,-369.046,-20.135,302.695
45,-371.442,-27.501,304.861
46,-374.894,-21.177,304.838
47,-370.171,-19.779,304.503
48,-369.335,-28.863,302.399
49,-369.315,-25.195,303.254
50,-367.510,-23.156,305.851
51,-371.410,-22.520,303.126
52,-370.295,-24.845,303.544
53,-369.907,-27.079,303.053
54,-364.531,-22.757,304.065
55,-379.321,-20.890,303.254
56,-376.942,-22.324,302.772
57,-362.875,-26.848,305.824
58,-364.105,-18.372,305.691
59,-374.033,-24.353,301.669
60,-362.902,-21.389,301.395
61,-368.258,-25.259,303.210
62,-367.717,-20.444,303.831
63,-378.872,-27.412,304.316
64,-379.892,-29.362,304.741
65,-373.416,-23.560,303.956
66,-369.609,-25.424,306.728
67,-372.066,-24.379,306.129
68,-369.815,-20.339,306.328
69,-366.876,-27.122,303.604
70,-365.705,-27.140,304.376
71,-371.685,-22.284,306.076
72,-383.632,-23.344,305.922
73,-373.990,-27.744,306.934
74,-374.457,-26.999,307.630
75,-370.209,-28.794,305.589
76,-376.431,-28.120,303.462
77,-371.970,-18.305,304.868
78,-369.506,-26.619,305.001
79,-376.326,-26.241,305.428
80,-375.108,-31.999,305.030
81,-366.123,-22.773,305.530
82,-370.995,-22.653,303.636
83,-371.314,-27.092,302.818
84,-367.388,-17.040,299.292
85,-363.471,-18.479,300.598
86,-368.246,-22.573,300.756
87,-358.797,-28.767,298.240
88,-364.609,-28.399,299.027
89,-369.029,-25.449,298.359
90,-360.387,-22.834,300.521
91,-362.698,-23.067,299.999
92,-368.833,-29.140,301.698
93,-366.111,-29.849,300.529
94,-372.753,-26.422,299.858
95,-360.607,-26.832,301.463
96,-359.147,-23.776,302.987
97,-373.087,-25.288,305.028
98,-374.838,-31.942,307.557
99,-374.235,-30.349,309.382
100,-371.679,-22.824,307.399
101,-368.129,-24.584,308.234
102,-368.395,-28.206,309.867
103,-378.396,-25.553,309.635
104,-372.190,-23.447,308.794
105,-378.999,-28.503,309.838
106,-382.225,-28.352,308.877
107,-373.519,-23.220,312.656
108,-381.572,-23.891,311.844
109,-379.796,-31.786,310.693
110,-371.357,-29.321,311.339
111,-365.763,-27.994,309.241
112,-375.864,-29.287,309.287
113,-374.045,-22.348,310.363
114,-371.254,-32.796,309.016
115,-370.053,-21.950,309.495
116,-375.682,-26.959,308.789
117,-380.366,-25.900,310.365
118,-370.594,-27.256,310.940
119,-383.332,-28.329,311.959
120,-372.183,-28.325,313.987
121,-386.234,-26.856,311.790
122,-376.467,-26.124,312.270
123,-381.051,-24.010,312.851
124,-377.891,-26.447,312.656
125,-380.518,-29.417,309.727
126,-383.668,-25.880,311.729
127,-381.831,-28.370,311.545
128,-380.156,-26.022,312.051
129,-380.113,-28.853,311.686
130,-379.001,-20.785,314.188
131,-378.136,-25.491,313.578
132,-381.108,-20.408,314.257
133,-382.595,-20.681,315.803
134,-390.983,-29.987,316.582
135,-381.456,-26.741,316.408
136,-383.519,-23.335,317.012
137,-386.305,-31.025,317.599
138,-382.859,-19.247,317.908
139,-390.022,-18.297,318.214
140,-380.429,-27.573,320.181
141,-393.687,-26.633,321.975
142,-388.312,-28.472,319.032
143,-386.109,-26.635,319.228
144,-387.065,-22.344,320.380
145,-389.451,-22.177,320.464
146,-385.097,-21.575,319.575
147,-382.582,-24.535,321.866
148,-397.181,-26.447,320.706
149,-387.679,-16.778,323.925
150,-395.930,-25.199,322.672
151,-387.323,-19.011,322.296
152,-387.471,-22.334,323.945
153,-383.897,-16.128,323.358
154,-384.137,-25.736,323.553
155,-385.922,-28.624,322.286
156,-391.929,-19.694,320.983
157,-372.217,-20.080,322.134
158,-383.215,-30.468,326.488
159,-389.621,-20.674,322.296
160,-386.429,-23.634,321.951
161,-388.171,-25.970,323.660
162,-391.373,-19.818,326.493
163,-395.073,-29.861,326.127
164,-382.610,-24.833,324.287
165,-390.497,-20.856,325.666
166,-386.727,-25.102,326.017
167,-393.033,-26.464,328.755
168,-399.084,-27.729,326.413
169,-393.801,-26.309,325.404
170,-390.893,-26.455,325.802
171,-386.008,-22.446,327.559
172,-387.531,-29.418,325.359
173,-395.801,-26.600,325.468
174,-394.432,-21.901,325.104
175,-393.140,-21.361,326.470
176,-389.569,-26.085,326.483
177,-392.073,-29.639,325.847
178,-394.763,-25.169,326.144
179,-388.394,-22.079,323.780
180,-396.265,-27.754,326.381
181,-395.749,-30.613,327.492
182,-394.938,-24.231,324.106
183,-383.332,-24.367,322.401
184,-381.432,-26.046,321.187
185,-389.018,-19.276,323.457
186,-394.198,-21.615,323.119
187,-383.924,-25.880,323.336
188,-389.048,-26.904,321.804
189,-391.305,-21.680,323.858
190,-392.548,-28.185,321.317
191,-383.454,-27.168,320.647
192,-383.511,-25.811,318.216
193,-384.548,-24.231,320.330
194,-384.640,-18.885,320.245
195,-387.408,-26.637,320.191
196,-385.147,-28.662,320.585
197,-387.603,-32.539,319.736
198,-385.886,-24.637,320.723
199,-385.071,-21.608,322.704
