Reading_Count,Pitch,Yaw,Pitotstatic
0,146.818,-58.274,287.237
1,142.408,-56.802,285.305
2,146.761,-59.298,285.519
3,145.115,-62.882,286.429
4,144.478,-65.034,284.981
5,145.539,-63.209,286.622
6,148.542,-58.650,285.812
7,146.211,-63.808,288.601
8,149.573,-59.069,288.755
9,146.427,-58.457,289.074
10,150.597,-59.613,290.295
11,151.250,-56.616,289.965
12,149.688,-56.137,290.943
13,149.949,-63.447,290.724
14,150.855,-61.325,291.150
15,148.531,-62.675,288.699
16,147.615,-58.198,288.519
17,147.270,-61.196,289.142
18,147.214,-61.593,289.653
19,152.336,-59.245,289.459
20,149.986,-60.678,286.920
21,145.875,-59.505,288.660
22,148.197,-59.539,290.652
23,149.646,-59.126,288.639
24,151.079,-63.539,287.849
25,146.742,-58.882,286.387
26,144.513,-60.985,286.731
27,150.645,-55.603,288.638
28,145.800,-59.012,285.586
29,147.676,-61.869,286.276
30,144.955,-60.528,288.498
31,154.348,-65.681,290.273
32,150.488,-61.419,290.542
33,150.529,-55.748,288.497
34,150.430,-56.350,287.626
35,147.318,-58.294,289.043
36,151.826,-56.348,291.043
37,150.966,-63.283,287.216
38,145.808,-62.812,288.439
39,149.371,-57.518,288.840
40,147.950,-62.452,288.876
41,146.855,-56.743,289.393
42,150.378,-59.402,285.246
43,150.619,-59.367,287.338
44,148.717,-65.746,286.551
45,146.426,-60.960,287.795
46,148.750,-67.780,289.655
47,148.434,-60.598,286.437
48,151.852,-58.466,285.755
49,145.415,-61.109,287.099
50,145.302,-61.655,286.784
51,146.517,-63.953,284.779
52,145.268,-62.985,285.637
53,147.869,-66.859,286.672
54,148.627,-64.104,286.500
55,147.555,-61.629,285.795
56,150.277,-62.747,286.210
57,149.459,-69.509,285.966
58,149.831,-63.030,284.734
59,151.155,-66.778,285.798
60,146.085,-62.089,283.215
61,145.029,-59.024,283.339
62,146.858,-58.001,286.940
63,149.153,-63.616,287.478
64,150.182,-61.042,288.103
65,148.947,-61.483,286.879
66,147.729,-66.721,286.713
67,151.679,-61.263,288.635
68,152.696,-59.005,287.747
69,150.663,-62.287,288.074
70,149.177,-63.942,286.722
71,150.706,-61.727,287.190
72,150.524,-60.689,287.173
73,148.122,-64.030,287.932
74,150.223,-59.868,288.476
75,149.521,-57.917,287.589
76,151.114,-60.262,288.966
77,147.121,-59.260,289.635
78,147.897,-67.624,291.651
79,152.613,-61.332,288.960
80,152.470,-63.072,291.439
81,149.949,-64.382,292.251
82,153.390,-59.880,290.983
83,154.975,-59.493,289.508
84,153.005,-63.564,288.273
85,149.370,-61.183,288.595
86,148.168,-67.998,288.344
87,149.969,-62.386,289.061
88,149.198,-63.292,289.055
89,148.595,-61.100,288.056
90,149.866,-59.795,287.745
91,155.200,-65.409,288.589
92,153.255,-60.866,289.594
93,149.100,-62.488,288.247
94,147.378,-67.033,287.150
95,148.392,-67.236,287.623
96,148.520,-60.746,290.003
97,151.208,-61.151,287.321
98,150.825,-59.948,288.338
99,150.352,-63.043,287.311
100,150.885,-60.805,288.911
101,147.656,-61.297,286.346
102,147.931,-58.872,285.468
103,146.515,-55.537,286.268
104,146.927,-57.856,286.769
105,152.783,-60.961,287.711
106,146.818,-68.702,285.456
107,150.799,-64.765,284.933
108,146.082,-62.134,286.102
109,146.905,-60.993,286.561
110,148.508,-58.513,285.387
111,146.629,-63.120,283.927
112,146.199,-60.811,285.440
113,147.592,-61.180,285.370
114,149.804,-64.055,285.888
115,148.402,-62.788,285.603
116,147.567,-60.040,282.922
117,146.252,-62.164,283.903
118,145.959,-59.327,284.048
119,145.076,-60.457,285.074
120,144.018,-62.844,283.161
121,147.452,-59.859,283.161
122,147.344,-58.666,285.551
123,148.806,-62.136,284.656
124,147.204,-63.982,284.757
125,146.553,-58.053,283.413
126,148.550,-60.270,283.338
127,145.154,-63.443,283.687
128,148.834,-65.435,284.328
129,146.366,-56.327,282.296
130,146.775,-54.785,284.684
131,148.127,-59.596,284.173
132,147.942,-57.698,282.786
133,146.263,-55.819,281.778
134,146.151,-59.689,283.153
135,145.477,-55.916,282.224
136,147.448,-56.920,283.838
137,148.497,-50.813,282.295
138,149.683,-59.111,284.500
139,145.848,-58.635,283.858
140,144.697,-58.487,285.429
141,146.502,-62.899,283.638
142,143.829,-57.879,283.076
143,144.694,-59.014,283.471
144,149.852,-55.875,285.690
145,149.369,-58.678,285.399
146,148.719,-56.503,284.758
147,146.410,-61.177,282.849
148,151.583,-61.906,286.085
149,152.462,-57.153,286.127
150,147.795,-50.525,284.798
151,148.041,-58.891,283.116
152,146.545,-56.734,282.772
153,147.192,-61.267,283.030
154,149.960,-57.685,283.586
155,146.312,-65.196,284.734
156,147.785,-66.295,284.011
157,145.660,-54.474,287.005
158,151.689,-63.070,286.986
159,151.460,-58.992,284.400
160,151.624,-62.459,285.561
161,149.943,-61.394,284.240
162,146.443,-60.894,284.117
163,149.319,-66.480,285.685
164,149.062,-61.807,285.639
165,148.476,-59.492,286.063
166,148.279,-60.245,286.723
167,148.902,-61.039,285.577
168,147.783,-57.027,284.582
169,149.702,-58.809,286.925
170,148.761,-57.882,283.750
171,146.896,-58.250,283.460
172,151.672,-59.972,285.720
173,149.180,-57.579,285.856
174,150.415,-59.687,284.451
175,150.974,-56.626,284.631
176,152.198,-64.432,285.767
177,152.546,-63.921,287.076
178,151.995,-60.641,287.326
179,152.015,-55.748,285.129
180,150.275,-60.078,286.081
181,145.838,-59.105,288.383
182,146.770,-54.067,285.464
183,147.813,-61.527,285.969
184,148.817,-60.412,287.151
185,148.691,-61.210,286.491
186,149.213,-63.370,289.641
187,151.298,-55.490,288.142
188,152.663,-55.781,289.824
189,154.077,-60.662,290.931
190,150.307,-58.549,289.455
191,155.259,-59.143,288.324
192,152.316,-59.429,287.141
193,149.594,-52.968,287.256
194,149.074,-52.557,287.580
195,149.544,-54.451,288.833
196,156.207,-62.494,288.551
197,152.785,-56.301,286.010
198,148.552,-58.114,286.637
199,149.935,-57.190,287.336
