Reading_Count,Pitch,Yaw,Pitotstatic
0,-78.036,-72.636,105.376
1,-77.365,-73.372,105.203
2,-77.735,-70.330,104.577
3,-78.093,-72.692,105.607
4,-78.491,-71.137,105.609
5,-77.435,-71.462,106.570
6,-74.584,-72.717,105.107
7,-76.221,-71.050,105.432
8,-74.439,-72.325,105.107
9,-76.095,-76.728,106.166
10,-74.801,-72.503,105.515
11,-75.798,-72.285,106.374
12,-77.511,-69.986,106.045
13,-75.892,-71.471,106.802
14,-74.117,-71.107,106.163
15,-75.857,-74.095,106.611
16,-75.368,-70.212,106.909
17,-74.508,-68.690,107.650
18,-74.423,-70.090,106.533
19,-76.740,-72.359,107.081
20,-74.085,-70.538,106.555
21,-77.135,-71.706,106.925
22,-73.525,-71.397,107.081
23,-74.057,-73.876,106.984
24,-73.703,-70.846,106.085
25,-74.384,-70.395,106.984
26,-72.391,-69.552,106.989
27,-75.439,-69.364,106.236
28,-73.601,-70.328,105.140
29,-71.350,-73.882,104.705
30,-76.449,-69.172,105.966
31,-71.399,-69.844,106.456
32,-71.478,-73.897,106.059
33,-71.774,-73.069,106.904
34,-71.543,-71.792,106.483
35,-71.367,-71.411,105.911
36,-73.895,-68.922,105.854
37,-71.329,-72.061,106.650
38,-71.068,-72.309,107.113
39,-71.567,-71.475,107.389
40,-70.732,-69.967,107.372
41,-71.352,-71.745,107.046
42,-71.007,-72.852,107.392
43,-71.389,-69.089,107.283
44,-72.764,-70.037,107.024
45,-71.087,-70.209,107.316
46,-72.571,-72.804,108.007
47,-69.179,-71.077,107.805
48,-73.835,-71.045,108.303
49,-72.706,-73.140,107.687
50,-70.489,-73.523,106.647
51,-72.079,-71.485,106.853
52,-72.246,-69.273,107.143
53,-71.366,-71.761,106.907
54,-68.681,-73.074,107.144
55,-72.809,-72.650,106.158
56,-70.903,-72.503,106.688
57,-72.955,-75.788,106.930
58,-69.387,-69.105,107.313
59,-72.237,-70.177,106.122
60,-70.742,-72.238,105.148
61,-70.719,-70.402,105.213
62,-74.309,-70.456,104.633
63,-69.661,-70.359,105.113
64,-70.559,-74.657,104.872
65,-69.676,-72.936,104.801
66,-73.089,-72.143,105.814
67,-70.707,-75.431,105.169
68,-72.162,-71.655,105.966
69,-71.238,-71.131,105.312
70,-73.691,-71.623,106.502
71,-69.247,-71.268,106.054
72,-69.468,-69.759,106.021
73,-70.087,-69.217,106.704
74,-69.004,-71.466,107.329
75,-70.966,-71.260,106.667
76,-70.150,-69.464,106.819
77,-73.550,-69.016,106.213
78,-71.020,-72.480,105.842
79,-70.514,-70.871,105.836
80,-69.186,-72.575,106.392
81,-68.041,-69.443,106.408
82,-71.261,-71.383,105.721
83,-70.913,-74.343,106.462
84,-70.824,-71.638,105.600
85,-67.925,-71.685,106.516
86,-72.638,-69.937,106.363
87,-71.279,-71.664,107.132
88,-70.848,-72.490,106.510
89,-71.970,-75.304,105.758
90,-69.671,-69.419,105.792
91,-70.381,-71.150,107.009
92,-70.791,-71.356,106.670
93,-71.320,-71.116,106.843
94,-71.793,-70.414,107.197
95,-68.465,-69.648,106.963
96,-71.442,-71.518,107.115
97,-70.054,-70.947,106.988
98,-68.373,-72.331,106.294
99,-70.947,-68.549,106.658
100,-69.459,-72.064,106.378
101,-72.905,-72.229,106.451
102,-70.826,-71.526,107.300
103,-71.132,-72.044,106.522
104,-71.050,-70.177,105.409
105,-70.290,-68.809,107.288
106,-68.878,-69.058,106.083
107,-68.715,-70.604,105.903
108,-71.306,-72.073,106.758
109,-70.004,-71.287,107.032
110,-70.637,-71.813,106.519
