Reading_Count,Pitch,Yaw,Pitotstatic
0,-80.728,113.124,110.914
1,-82.080,119.503,110.838
2,-80.182,118.505,111.110
3,-81.358,121.048,111.240
4,-82.842,117.674,111.751
5,-79.094,122.011,111.319
6,-77.887,120.916,110.462
7,-79.874,120.435,110.908
8,-81.407,114.976,110.045
9,-76.846,122.691,110.370
10,-77.602,114.647,109.749
11,-78.040,111.123,109.706
12,-79.046,119.571,109.992
13,-78.455,118.946,109.012
14,-77.940,119.564,110.370
15,-80.268,110.293,109.947
16,-76.347,116.392,110.029
17,-74.722,117.989,109.887
18,-76.506,116.255,109.542
19,-77.514,120.279,109.603
20,-80.095,121.910,109.180
21,-79.647,119.309,108.729
22,-79.943,116.518,109.170
23,-77.959,119.914,110.021
24,-76.613,114.069,109.935
25,-76.138,116.138,109.277
26,-75.959,117.000,108.759
27,-77.010,117.609,109.263
28,-76.006,112.141,108.516
29,-75.056,114.261,109.037
30,-75.718,114.780,108.820
31,-75.546,120.612,108.552
32,-75.446,117.640,109.323
33,-76.094,122.829,109.339
34,-75.281,117.072,108.910
35,-76.108,117.444,108.848
36,-75.206,111.115,108.999
37,-74.214,108.160,109.622
38,-77.897,121.691,109.360
39,-74.417,113.023,109.013
40,-74.679,112.188,108.810
41,-75.360,119.085,109.735
42,-75.698,119.204,109.671
43,-73.795,113.064,109.758
44,-74.939,119.792,109.879
45,-77.384,112.692,110.044
46,-75.707,115.333,108.933
47,-76.477,113.737,109.154
48,-76.924,121.277,108.964
49,-75.654,114.851,109.117
50,-73.635,114.902,108.387
51,-76.563,113.104,109.330
52,-75.962,118.642,109.206
53,-78.418,120.419,108.390
54,-74.311,112.452,109.173
55,-73.664,118.209,109.511
56,-78.096,120.021,109.669
57,-75.489,118.902,108.975
58,-77.253,118.560,108.606
59,-74.525,115.087,108.920
60,-75.516,119.303,109.350
61,-76.313,114.478,109.118
62,-74.955,116.000,108.683
63,-73.812,117.643,109.220
64,-75.830,112.950,109.016
65,-74.829,112.321,109.638
66,-74.959,109.964,108.475
67,-72.480,118.955,109.284
68,-75.354,112.637,108.241
69,-75.329,116.513,108.875
70,-75.919,116.545,108.799
71,-74.069,112.107,109.026
72,-75.478,116.933,109.244
73,-76.846,116.861,108.281
74,-74.945,117.183,108.118
75,-75.619,110.259,108.621
76,-73.427,118.808,108.461
77,-74.449,118.822,108.613
78,-73.233,111.084,108.752
79,-75.320,118.129,109.660
80,-75.307,118.770,109.388
81,-72.969,119.276,109.846
82,-73.007,115.363,109.700
83,-72.738,117.396,109.239
84,-75.925,119.544,109.928
85,-74.098,114.587,109.612
86,-73.568,115.341,108.873
87,-75.273,112.212,109.681
88,-74.838,121.958,109.334
89,-74.454,110.721,108.629
90,-76.155,116.977,109.425
91,-73.943,116.402,109.612
92,-75.371,119.985,109.067
93,-73.162,111.810,108.955
94,-73.879,116.058,108.518
95,-75.432,119.172,108.080
96,-73.032,119.531,108.192
97,-73.585,117.500,108.173
98,-72.737,113.217,108.490
99,-73.623,115.465,107.777
100,-73.456,119.543,107.872
101,-71.502,117.628,108.121
102,-73.570,109.605,108.275
103,-74.861,116.624,107.993
104,-74.796,117.382,107.276
105,-73.222,110.360,108.490
106,-74.582,117.346,107.956
107,-74.529,116.886,108.169
108,-74.835,115.617,108.100
109,-73.588,117.616,108.512
