Reading_Count,Pitch,Yaw,Pitotstatic
0,-75.569,-9.982,6.862
1,-75.739,-9.894,6.808
2,-75.679,-9.963,6.822
3,-75.663,-9.757,6.863
4,-75.776,-9.659,6.904
5,-75.799,-9.765,7.094
6,-75.487,-9.866,6.945
7,-75.914,-9.991,6.836
8,-75.731,-9.638,6.905
9,-76.050,-9.725,6.905
10,-75.429,-9.861,6.891
11,-75.831,-10.047,6.905
12,-75.683,-9.660,6.809
13,-75.692,-9.613,6.931
14,-75.204,-9.458,6.905
15,-75.159,-9.464,6.796
16,-75.452,-9.914,6.823
17,-75.388,-9.649,6.837
18,-75.421,-9.717,6.850
19,-75.422,-9.463,7.013
20,-75.617,-9.599,7.067
21,-75.610,-9.885,6.823
22,-75.424,-9.831,6.714
23,-75.555,-9.956,6.987
24,-75.614,-9.904,6.905
25,-75.500,-9.601,6.878
26,-75.581,-9.739,7.083
27,-75.711,-9.792,6.838
28,-75.804,-9.913,6.852
29,-75.910,-9.882,6.920
30,-75.859,-9.883,6.919
31,-75.836,-9.936,6.674
32,-75.726,-9.816,6.852
33,-75.965,-9.698,7.002
34,-75.612,-9.807,6.852
35,-75.413,-9.691,6.936
36,-76.013,-9.655,6.812
37,-75.988,-9.864,6.812
38,-76.194,-9.780,6.990
39,-75.660,-9.746,6.881
40,-75.735,-9.676,7.044
41,-75.752,-9.899,6.800
42,-75.864,-9.836,6.814
43,-75.807,-9.674,6.909
44,-75.729,-9.999,6.936
45,-75.865,-10.031,7.004
46,-75.772,-9.739,6.868
47,-75.704,-9.686,6.936
48,-75.960,-9.978,6.990
49,-75.766,-9.910,6.895
50,-75.821,-9.941,6.853
51,-75.805,-10.023,7.004
52,-75.992,-10.177,6.936
53,-75.727,-9.984,6.894
54,-75.787,-9.855,6.895
55,-75.830,-9.729,6.882
56,-75.883,-9.864,6.923
57,-75.668,-9.836,6.991
58,-75.607,-10.174,7.099
59,-75.916,-9.969,6.787
60,-76.123,-9.969,6.705
61,-76.082,-10.330,6.828
62,-75.957,-10.395,6.978
63,-76.425,-10.072,6.910
64,-76.312,-10.399,6.951
65,-76.425,-9.875,6.856
66,-75.978,-10.368,7.142
67,-76.011,-10.233,6.965
68,-75.762,-10.131,6.910
69,-75.972,-9.612,6.829
70,-76.024,-9.998,6.938
71,-76.452,-9.911,6.991
72,-75.838,-10.639,7.100
73,-76.404,-10.283,6.802
74,-76.356,-10.135,6.665
75,-76.013,-10.285,6.897
76,-76.107,-10.219,7.073
77,-76.095,-10.216,7.128
78,-75.922,-10.402,6.856
79,-76.081,-10.108,6.978
80,-76.258,-10.318,6.717
81,-76.131,-10.549,6.882
82,-76.125,-10.395,6.678
83,-75.689,-10.567,6.623
84,-76.443,-10.628,6.745
85,-76.218,-10.866,6.745
86,-76.097,-10.626,6.622
87,-76.444,-10.493,6.908
88,-76.818,-10.424,6.963
89,-76.534,-10.543,6.853
90,-76.604,-10.698,6.758
91,-76.719,-10.694,6.663
92,-76.713,-10.543,6.826
93,-76.265,-10.681,6.799
94,-76.807,-11.024,6.799
95,-76.452,-10.795,6.963
96,-76.315,-10.579,6.758
97,-76.649,-10.616,6.812
98,-76.496,-10.668,6.772
99,-76.476,-10.866,6.772
100,-76.720,-11.076,6.731
101,-76.978,-10.840,6.840
102,-76.861,-10.769,6.758
103,-77.074,-10.734,6.732
104,-76.824,-10.701,6.759
105,-76.939,-10.283,6.718
106,-76.677,-10.351,6.705
107,-76.634,-10.613,6.718
108,-76.593,-10.633,6.815
109,-76.780,-10.634,6.937
110,-76.602,-10.789,6.964
111,-76.754,-10.720,6.828
112,-76.881,-10.740,7.033
113,-77.033,-10.795,6.924
114,-76.937,-10.469,6.679
115,-76.520,-10.452,6.910
116,-76.802,-10.945,6.774
117,-77.085,-10.659,6.897
118,-76.972,-10.917,7.019
119,-77.180,-10.623,6.937
120,-77.134,-10.737,6.939
121,-76.926,-10.753,6.911
122,-77.078,-10.826,6.897
123,-76.922,-10.837,6.938
124,-76.982,-10.808,6.734
125,-76.855,-10.623,6.733
126,-76.679,-10.727,6.775
127,-76.776,-10.894,6.897
128,-76.792,-10.655,6.842
129,-76.879,-10.939,6.979
130,-77.215,-10.904,6.787
131,-76.493,-10.666,6.924
132,-77.161,-10.873,6.692
133,-77.129,-10.579,6.706
134,-76.491,-10.919,6.910
135,-76.553,-11.107,7.033
136,-76.317,-11.089,6.856
137,-76.647,-11.153,7.005
138,-76.645,-10.652,6.964
139,-76.430,-11.006,6.924
140,-76.410,-11.037,6.705
141,-76.055,-10.884,6.732
142,-76.403,-10.587,6.801
143,-76.459,-10.844,6.910
144,-76.315,-10.840,7.018
145,-76.666,-10.939,6.868
146,-76.528,-11.077,7.060
147,-76.068,-10.780,6.909
148,-76.203,-10.953,6.679
149,-76.385,-11.017,6.923
150,-76.498,-10.914,6.828
151,-76.128,-10.883,6.815
152,-76.123,-11.284,6.883
153,-76.329,-10.892,6.760
154,-76.072,-11.075,6.842
155,-76.283,-11.192,6.774
156,-76.065,-11.039,6.882
157,-75.967,-11.018,6.828
158,-75.993,-11.017,6.908
159,-75.795,-10.831,6.827
160,-75.985,-10.976,6.772
161,-76.116,-11.077,6.868
