Reading_Count,Pitch,Yaw,Pitotstatic
0.000000,101.708,-41.735,-353.575
1.000000,95.217,-29.718,-365.587
2.000000,100.096,-33.348,-358.565
3.000000,92.629,-38.287,-354.547
4.000000,98.837,-33.141,-362.962
5.000000,95.502,-36.231,-354.340
6.000000,93.957,-29.371,-341.671
7.000000,93.374,-34.772,-346.377
8.000000,99.584,-33.973,-344.332
9.000000,102.285,-32.972,-349.929
10.000000,96.541,-34.106,-352.721
11.000000,96.525,-31.959,-351.564
12.000000,94.801,-37.808,-350.289
13.000000,97.939,-36.477,-344.224
14.000000,101.393,-32.062,-344.257
15.000000,96.946,-33.501,-349.358
16.000000,96.648,-34.785,-345.010
17.000000,95.314,-34.489,-346.817
18.000000,95.717,-37.407,-341.829
19.000000,101.573,-32.309,-346.907
20.000000,93.706,-32.084,-343.343
21.000000,97.945,-29.253,-359.033
22.000000,90.246,-34.037,-344.562
23.000000,94.324,-35.858,-352.676
24.000000,93.309,-34.168,-362.457
25.000000,94.739,-36.749,-346.913
26.000000,95.258,-35.125,-351.523
27.000000,92.519,-34.005,-355.137
28.000000,100.600,-33.313,-356.455
29.000000,93.404,-38.006,-338.136
30.000000,95.674,-36.083,-351.421
31.000000,96.741,-30.956,-352.569
32.000000,95.400,-34.980,-345.242
33.000000,99.828,-38.041,-356.549
34.000000,95.286,-37.210,-356.329
35.000000,93.809,-30.410,-346.890
36.000000,101.129,-34.390,-350.466
37.000000,96.246,-33.593,-338.495
38.000000,93.163,-32.744,-357.381
39.000000,95.093,-35.341,-361.815
40.000000,100.449,-31.079,-350.538
41.000000,96.373,-33.855,-350.424
42.000000,96.440,-33.852,-348.031
43.000000,94.130,-32.093,-357.636
44.000000,99.832,-37.306,-359.428
45.000000,99.742,-31.346,-352.559
46.000000,102.482,-38.074,-350.281
47.000000,96.488,-37.644,-357.968
48.000000,97.613,-35.634,-349.161
49.000000,104.099,-39.252,-361.238
50.000000,93.136,-30.465,-351.744
51.000000,99.477,-33.665,-354.879
52.000000,95.299,-35.216,-362.291
53.000000,94.671,-38.381,-358.401
54.000000,101.276,-34.465,-359.684
55.000000,101.176,-33.260,-354.450
56.000000,103.692,-34.869,-358.445
57.000000,96.907,-35.266,-361.202
58.000000,95.910,-40.172,-366.647
59.000000,99.567,-33.277,-358.187
60.000000,101.519,-31.856,-361.323
61.000000,97.371,-39.446,-360.833
62.000000,93.268,-37.625,-358.678
63.000000,93.679,-37.070,-361.620
64.000000,99.605,-32.186,-361.386
65.000000,98.319,-33.494,-363.157
66.000000,99.577,-31.630,-359.007
67.000000,92.731,-33.960,-353.241
68.000000,102.851,-35.187,-353.796
69.000000,97.658,-30.189,-358.158
70.000000,95.709,-33.597,-348.351
71.000000,105.075,-33.433,-352.719
72.000000,102.378,-31.630,-353.254
73.000000,99.073,-36.693,-352.475
74.000000,97.549,-33.131,-358.535
75.000000,98.755,-30.267,-358.937
76.000000,101.847,-33.300,-365.129
77.000000,97.021,-33.773,-355.564
78.000000,98.098,-34.576,-364.872
79.000000,101.509,-33.015,-361.491
80.000000,96.740,-38.689,-361.610
81.000000,99.189,-34.004,-364.924
82.000000,99.576,-34.669,-359.126
83.000000,99.839,-30.274,-358.028
84.000000,99.108,-34.998,-346.644
85.000000,94.091,-29.025,-357.399
86.000000,106.719,-31.825,-357.591
87.000000,96.322,-30.791,-353.357
88.000000,97.531,-32.175,-347.125
89.000000,96.478,-32.585,-348.492
90.000000,91.480,-30.777,-363.012
91.000000,105.532,-30.862,-362.642
92.000000,101.272,-31.084,-349.918
93.000000,95.169,-31.396,-351.413
94.000000,99.262,-37.016,-351.593
95.000000,97.903,-31.695,-351.359
96.000000,103.536,-35.557,-366.421
97.000000,101.955,-40.177,-355.390
98.000000,92.733,-33.153,-350.732
99.000000,97.727,-33.041,-350.618
100.000000,93.531,-30.488,-348.411
101.000000,101.404,-35.037,-360.069
102.000000,101.164,-31.801,-351.133
103.000000,104.144,-32.066,-355.853
104.000000,91.572,-32.683,-360.622
105.000000,103.689,-39.299,-366.742
106.000000,102.298,-33.400,-371.689
107.000000,102.227,-31.903,-370.564
108.000000,104.906,-38.775,-363.171
109.000000,98.221,-33.162,-362.331
110.000000,100.470,-31.658,-359.758
111.000000,102.386,-34.620,-366.914
112.000000,96.809,-36.766,-357.336
113.000000,96.406,-34.052,-347.688
114.000000,97.110,-33.455,-363.349
115.000000,95.499,-30.400,-349.101
116.000000,97.553,-36.903,-354.757
117.000000,100.603,-30.814,-361.156
118.000000,97.522,-33.041,-351.660
119.000000,100.814,-32.854,-358.556
120.000000,98.975,-34.307,-365.860
121.000000,97.781,-34.163,-356.361
122.000000,96.430,-34.388,-361.091
123.000000,101.003,-35.069,-351.584
124.000000,99.501,-36.263,-352.736
125.000000,96.655,-34.310,-362.896
126.000000,104.764,-34.039,-357.307
127.000000,95.908,-35.134,-364.606
128.000000,95.343,-38.777,-363.755
129.000000,98.619,-39.451,-362.174
130.000000,100.979,-34.659,-358.463
131.000000,99.032,-35.554,-358.439
132.000000,105.946,-38.674,-373.610
133.000000,99.054,-33.216,-358.879
134.000000,101.228,-31.793,-361.859
135.000000,95.298,-35.907,-352.374
136.000000,95.630,-34.124,-357.489
137.000000,96.693,-38.570,-358.203
138.000000,96.003,-31.691,-360.996
139.000000,98.549,-32.887,-353.668
140.000000,93.136,-30.602,-360.862
141.000000,98.915,-36.132,-365.782
142.000000,95.663,-33.811,-358.162
143.000000,93.449,-32.477,-358.724
144.000000,92.732,-36.427,-356.127
145.000000,97.901,-32.881,-361.701
146.000000,90.907,-33.612,-354.374
147.000000,94.577,-36.481,-357.789
148.000000,90.920,-33.889,-353.354
149.000000,97.152,-37.382,-353.572
150.000000,95.749,-35.572,-357.318
151.000000,94.487,-32.373,-356.917
152.000000,97.358,-37.115,-348.509
153.000000,98.353,-36.566,-351.786
154.000000,94.078,-31.226,-355.053
155.000000,97.454,-30.643,-350.192
156.000000,95.502,-36.981,-346.030
157.000000,97.482,-31.692,-361.328
158.000000,101.836,-34.146,-357.683
159.000000,100.842,-31.880,-350.678
160.000000,98.952,-35.835,-355.491
161.000000,93.028,-37.114,-352.710
162.000000,97.122,-31.758,-364.263
163.000000,98.089,-32.402,-353.753
164.000000,94.560,-32.687,-349.415
165.000000,102.024,-34.709,-344.892
166.000000,103.734,-34.256,-344.917
167.000000,92.199,-32.985,-346.796
168.000000,96.458,-33.679,-349.120
169.000000,97.768,-33.771,-358.886
170.000000,95.746,-31.453,-358.770
171.000000,98.815,-33.844,-349.849
172.000000,96.649,-34.768,-345.877
173.000000,103.046,-34.871,-344.287
174.000000,92.980,-36.895,-352.137
175.000000,92.657,-30.978,-348.200
176.000000,94.689,-33.307,-345.698
177.000000,96.217,-34.062,-356.163
178.000000,98.006,-36.833,-360.650
179.000000,89.936,-35.515,-355.170
180.000000,101.077,-37.485,-358.219
181.000000,97.281,-36.365,-348.143
182.000000,97.776,-30.998,-352.228
183.000000,101.642,-38.328,-354.177
184.000000,106.030,-40.960,-347.583
185.000000,93.173,-30.599,-356.031
186.000000,94.409,-32.702,-360.066
187.000000,95.198,-37.302,-357.511
188.000000,98.167,-38.128,-360.748
189.000000,95.203,-33.351,-360.736
190.000000,96.821,-35.494,-347.542
191.000000,90.609,-36.917,-347.531
192.000000,92.446,-33.374,-349.667
193.000000,96.498,-34.087,-348.313
194.000000,92.764,-35.474,-350.588
195.000000,99.785,-34.207,-347.024
196.000000,101.324,-29.106,-352.936
197.000000,98.993,-38.194,-356.014
198.000000,98.266,-34.142,-351.953
199.000000,92.948,-34.209,-355.302
200.000000,100.366,-34.592,-353.497
201.000000,95.994,-37.496,-345.042
202.000000,97.665,-39.035,-351.377
203.000000,92.803,-33.385,-344.387
204.000000,98.777,-35.939,-342.296
205.000000,103.052,-29.861,-353.687
206.000000,100.362,-35.314,-348.589
207.000000,96.365,-35.909,-346.923
208.000000,104.138,-30.878,-348.104
209.000000,99.564,-35.404,-359.290
210.000000,99.383,-37.907,-346.610
211.000000,98.916,-31.747,-342.309
212.000000,95.445,-33.658,-346.074
213.000000,97.441,-33.901,-350.476
214.000000,93.866,-33.038,-352.105
215.000000,101.144,-33.661,-346.280
216.000000,95.617,-38.092,-353.048
217.000000,90.993,-35.539,-359.457
218.000000,94.912,-35.621,-358.638
219.000000,100.445,-34.170,-353.263
220.000000,96.479,-35.656,-347.565
221.000000,97.416,-30.694,-350.892
222.000000,94.507,-32.040,-344.632
223.000000,91.216,-36.319,-346.991
224.000000,91.249,-31.914,-360.967
225.000000,97.231,-34.691,-352.557
226.000000,97.667,-34.530,-352.669
227.000000,99.090,-34.436,-347.916
228.000000,100.229,-40.958,-341.177
229.000000,95.280,-32.427,-344.568
230.000000,97.289,-39.978,-361.802
231.000000,98.989,-31.988,-355.349
232.000000,94.310,-37.659,-355.602
233.000000,92.115,-37.052,-348.631
234.000000,95.058,-29.237,-351.335
235.000000,101.763,-33.491,-361.598
236.000000,96.895,-35.028,-355.627
237.000000,97.973,-34.797,-357.775
238.000000,95.350,-29.844,-352.572
239.000000,100.315,-36.141,-349.300
240.000000,96.618,-34.491,-358.528
241.000000,99.725,-29.190,-361.349
242.000000,101.307,-32.218,-352.551
243.000000,96.142,-33.459,-350.622
244.000000,91.978,-34.301,-357.155
245.000000,100.927,-36.033,-356.957
246.000000,91.593,-36.387,-353.254
247.000000,100.969,-34.244,-350.472
248.000000,96.473,-39.025,-345.972
249.000000,97.972,-31.377,-349.932
250.000000,100.633,-37.985,-362.071
251.000000,93.405,-31.218,-360.403
252.000000,96.952,-33.556,-354.819
253.000000,97.326,-30.786,-359.917
254.000000,98.611,-36.053,-357.291
255.000000,102.357,-33.056,-358.574
256.000000,94.680,-33.956,-362.695
257.000000,103.754,-30.964,-354.944
258.000000,96.905,-30.203,-361.358
259.000000,100.658,-34.532,-354.036
260.000000,95.961,-34.403,-364.621
261.000000,97.835,-37.341,-363.521
262.000000,93.581,-33.600,-369.750
263.000000,96.559,-30.891,-363.714
264.000000,96.315,-39.180,-358.694
265.000000,94.135,-33.197,-346.960
266.000000,94.132,-35.877,-360.873
267.000000,98.210,-30.350,-353.680
268.000000,97.977,-35.802,-352.317
269.000000,99.550,-30.628,-360.493
270.000000,96.398,-33.410,-352.994
271.000000,101.052,-38.131,-357.946
272.000000,97.093,-33.449,-356.590
273.000000,99.637,-33.959,-359.021
274.000000,96.876,-36.679,-356.277
275.000000,92.532,-34.935,-359.025
276.000000,93.633,-34.201,-353.983
277.000000,101.236,-34.641,-354.600
278.000000,91.282,-32.860,-346.113
279.000000,103.994,-32.153,-361.518
280.000000,94.351,-37.176,-347.146
281.000000,95.183,-36.434,-341.915
282.000000,103.414,-39.366,-357.447
283.000000,100.871,-33.528,-356.908
284.000000,99.687,-31.382,-351.966
285.000000,100.301,-36.888,-361.042
286.000000,95.079,-34.801,-351.968
287.000000,96.386,-39.445,-358.669
288.000000,95.878,-30.703,-358.470
289.000000,96.502,-39.466,-359.963
290.000000,96.006,-33.246,-371.696
291.000000,89.624,-36.699,-356.661
292.000000,91.613,-38.197,-364.998
293.000000,96.203,-36.789,-361.534
294.000000,105.116,-33.744,-360.491
295.000000,93.063,-35.961,-350.456
296.000000,99.520,-33.224,-359.768
297.000000,99.210,-32.778,-360.142
298.000000,95.160,-34.890,-357.326
299.000000,99.726,-31.766,-355.789
300.000000,95.573,-37.911,-359.437
301.000000,101.144,-34.859,-355.814
302.000000,100.014,-34.093,-351.584
