Reading_Count,Pitch,Yaw,Pitotstatic
0.000000,-4.373,4.545,5.454
1.000000,-6.619,5.221,5.535
2.000000,-10.328,4.200,5.453
3.000000,-13.350,3.567,5.590
4.000000,-16.049,2.942,5.426
5.000000,-18.140,2.658,5.548
6.000000,-20.202,1.701,5.535
7.000000,-22.134,1.361,5.671
8.000000,-23.812,1.009,5.588
9.000000,-25.449,0.622,5.534
10.000000,-26.758,0.408,5.479
11.000000,-28.148,0.126,5.534
12.000000,-29.879,-0.119,5.656
13.000000,-31.010,-0.729,5.533
14.000000,-31.990,-0.972,5.424
15.000000,-33.201,-1.045,5.547
16.000000,-34.358,-1.323,5.465
17.000000,-34.856,-1.555,5.546
18.000000,-36.214,-1.756,5.356
19.000000,-36.934,-2.000,5.532
20.000000,-37.662,-1.979,5.369
21.000000,-38.115,-2.387,5.628
22.000000,-39.072,-2.571,5.437
23.000000,-39.958,-2.587,5.451
24.000000,-40.740,-2.600,5.670
25.000000,-40.981,-2.783,5.451
26.000000,-41.843,-2.741,5.561
27.000000,-42.250,-3.129,5.478
28.000000,-42.836,-3.173,5.532
29.000000,-43.334,-3.220,5.560
30.000000,-43.759,-3.408,5.629
31.000000,-43.903,-3.513,5.546
32.000000,-44.627,-3.633,5.628
33.000000,-45.188,-3.716,5.341
34.000000,-45.420,-3.898,5.410
35.000000,-45.860,-3.732,5.409
36.000000,-46.046,-3.876,5.627
37.000000,-46.366,-4.229,5.477
38.000000,-46.797,-3.961,5.423
39.000000,-47.044,-3.740,5.655
40.000000,-47.335,-4.071,5.464
41.000000,-47.540,-4.222,5.504
42.000000,-47.992,-4.210,5.450
43.000000,-48.283,-4.246,5.314
44.000000,-48.345,-4.326,5.464
45.000000,-48.747,-4.362,5.327
46.000000,-48.982,-4.310,5.423
47.000000,-49.426,-4.344,5.450
48.000000,-49.531,-4.323,5.436
49.000000,-49.685,-4.548,5.545
50.000000,-49.629,-4.199,5.409
51.000000,-50.078,-4.141,5.504
52.000000,-50.053,-4.298,5.491
53.000000,-50.451,-4.502,5.504
54.000000,-50.259,-4.688,5.450
55.000000,-50.576,-4.336,5.573
56.000000,-51.303,-4.441,5.668
57.000000,-51.120,-4.460,5.517
58.000000,-51.177,-4.517,5.395
59.000000,-51.430,-4.813,5.518
60.000000,-51.548,-5.012,5.299
61.000000,-51.548,-4.691,5.601
62.000000,-51.944,-4.557,5.532
63.000000,-51.981,-4.562,5.532
64.000000,-52.053,-4.792,5.450
65.000000,-52.252,-4.825,5.464
66.000000,-52.366,-5.092,5.423
67.000000,-52.482,-4.891,5.655
68.000000,-52.445,-4.760,5.709
69.000000,-52.797,-4.728,5.558
70.000000,-52.689,-4.692,5.436
71.000000,-52.826,-4.856,5.367
72.000000,-53.276,-4.871,5.504
73.000000,-53.186,-4.823,5.492
74.000000,-53.070,-4.706,5.504
75.000000,-53.183,-4.964,5.599
76.000000,-53.261,-4.811,5.285
77.000000,-53.500,-4.787,5.600
78.000000,-53.348,-4.850,5.504
79.000000,-53.679,-5.043,5.517
80.000000,-53.626,-4.890,5.682
81.000000,-53.442,-4.950,5.655
82.000000,-53.972,-4.864,5.587
83.000000,-53.630,-5.007,5.504
84.000000,-54.123,-5.229,5.381
85.000000,-54.050,-4.829,5.450
86.000000,-54.250,-4.909,5.587
87.000000,-54.537,-5.030,5.463
88.000000,-54.179,-4.945,5.504
89.000000,-54.408,-4.934,5.626
90.000000,-54.263,-4.844,5.491
91.000000,-54.383,-4.827,5.709
92.000000,-54.604,-4.835,5.340
93.000000,-54.692,-4.878,5.587
94.000000,-54.577,-4.835,5.626
95.000000,-54.970,-5.237,5.504
96.000000,-54.664,-5.376,5.477
97.000000,-55.078,-5.466,5.381
98.000000,-55.206,-5.014,5.546
99.000000,-54.911,-5.172,5.546
100.000000,-55.195,-5.134,5.558
101.000000,-54.927,-4.989,5.531
102.000000,-54.998,-5.151,5.341
103.000000,-54.783,-4.989,5.641
104.000000,-55.352,-4.886,5.599
105.000000,-55.023,-5.054,5.641
106.000000,-55.174,-5.156,5.408
107.000000,-55.208,-5.166,5.818
108.000000,-55.267,-5.176,5.722
109.000000,-55.514,-5.260,5.722
110.000000,-55.317,-5.152,5.531
111.000000,-55.313,-5.307,5.614
112.000000,-55.046,-5.081,5.491
113.000000,-55.476,-5.273,5.586
114.000000,-55.441,-5.120,5.695
115.000000,-55.732,-5.073,5.668
116.000000,-55.481,-5.077,5.491
117.000000,-55.354,-5.393,5.764
118.000000,-55.755,-5.302,5.764
119.000000,-55.604,-4.981,5.614
120.000000,-55.853,-5.167,5.708
121.000000,-55.872,-5.044,6.023
122.000000,-55.908,-5.547,6.009
123.000000,-56.023,-5.336,6.037
124.000000,-56.416,-5.617,6.065
125.000000,-55.794,-5.033,6.284
126.000000,-55.773,-4.989,6.283
127.000000,-55.771,-5.222,6.542
128.000000,-55.931,-4.882,6.678
129.000000,-55.961,-5.303,6.897
130.000000,-56.522,-5.172,7.075
131.000000,-56.474,-4.995,7.021
132.000000,-55.960,-4.734,7.690
133.000000,-56.207,-4.562,7.937
134.000000,-56.295,-5.107,8.660
135.000000,-56.483,-4.732,9.152
136.000000,-56.294,-4.790,9.521
137.000000,-56.609,-4.664,10.053
138.000000,-56.492,-4.817,10.805
139.000000,-56.440,-4.556,11.597
140.000000,-56.871,-4.397,12.417
141.000000,-56.935,-4.090,13.290
142.000000,-56.779,-3.698,14.369
143.000000,-56.944,-4.078,15.530
144.000000,-57.107,-3.869,16.568
145.000000,-57.638,-3.739,17.743
146.000000,-57.035,-3.365,18.986
147.000000,-58.340,-2.823,20.420
148.000000,-58.951,-2.535,21.868
149.000000,-58.082,-2.110,23.137
150.000000,-57.855,-2.245,24.489
151.000000,-58.181,-2.084,26.279
152.000000,-58.279,-2.148,28.695
153.000000,-58.275,-1.595,30.334
154.000000,-58.485,-1.070,32.109
155.000000,-58.187,-0.874,34.186
156.000000,-58.132,-1.142,36.314
157.000000,-58.407,-0.702,38.323
158.000000,-58.387,0.319,40.808
159.000000,-58.434,0.182,42.885
160.000000,-58.374,0.689,45.230
161.000000,-58.173,1.679,47.591
162.000000,-58.645,2.303,50.895
163.000000,-60.014,2.594,53.873
164.000000,-61.462,3.153,57.202
165.000000,-62.795,3.338,60.524
166.000000,-63.957,3.960,64.030
167.000000,-64.061,4.417,67.114
168.000000,-64.233,5.139,71.206
169.000000,-64.721,6.029,74.838
170.000000,-65.082,6.429,78.115
171.000000,-65.030,8.157,82.070
172.000000,-65.324,8.827,85.961
173.000000,-65.166,8.927,90.133
174.000000,-65.025,10.126,94.581
175.000000,-65.210,10.240,97.846
176.000000,-65.056,11.277,101.673
177.000000,-66.437,12.627,106.321
178.000000,-66.546,12.859,109.991
179.000000,-67.228,13.466,114.480
180.000000,-66.612,13.782,118.363
181.000000,-65.425,14.867,122.829
182.000000,-68.372,16.616,128.415
183.000000,-65.235,18.215,133.335
184.000000,-67.998,18.179,140.104
185.000000,-68.878,18.444,143.813
186.000000,-67.163,19.300,148.605
187.000000,-64.517,21.064,155.133
188.000000,-66.004,19.891,159.097
189.000000,-68.744,22.897,162.285
190.000000,-65.695,21.605,165.481
191.000000,-67.815,18.414,170.560
192.000000,-66.431,25.253,174.457
193.000000,-62.086,20.361,176.857
194.000000,-66.103,22.012,179.923
195.000000,-67.301,22.011,182.480
196.000000,-69.287,21.531,184.124
197.000000,-69.172,23.807,187.690
198.000000,-69.858,26.171,189.085
199.000000,-69.282,28.864,189.526
200.000000,-72.613,27.029,193.286
201.000000,-71.797,28.399,194.005
202.000000,-67.399,25.522,195.039
203.000000,-69.918,26.725,196.166
204.000000,-69.159,24.326,197.991
205.000000,-69.974,23.650,199.132
206.000000,-71.653,22.869,200.895
207.000000,-70.998,22.456,201.092
208.000000,-72.235,28.056,201.962
209.000000,-72.271,27.461,201.252
210.000000,-68.430,27.709,202.967
211.000000,-74.895,21.173,204.627
212.000000,-71.931,24.729,207.304
213.000000,-78.445,26.710,207.532
214.000000,-72.968,22.263,207.565
215.000000,-77.476,26.343,209.277
216.000000,-74.807,25.996,207.063
217.000000,-71.668,28.211,208.033
218.000000,-77.602,31.816,211.507
219.000000,-69.233,22.450,210.477
220.000000,-78.089,28.007,210.542
221.000000,-72.581,23.426,212.046
222.000000,-73.076,26.684,214.801
223.000000,-73.641,24.349,212.864
224.000000,-77.775,27.740,212.300
225.000000,-77.616,21.965,215.344
226.000000,-74.759,18.259,213.906
227.000000,-73.967,29.573,214.621
228.000000,-72.784,24.661,215.320
229.000000,-75.250,29.273,214.588
230.000000,-71.188,26.511,217.173
231.000000,-74.174,26.955,216.171
232.000000,-73.618,25.003,218.299
233.000000,-78.202,26.407,218.830
234.000000,-77.122,26.554,219.113
235.000000,-75.200,25.727,220.869
236.000000,-74.086,27.549,221.332
237.000000,-80.944,31.879,221.719
238.000000,-77.780,28.669,222.021
239.000000,-74.588,31.233,223.070
240.000000,-77.878,29.014,223.479
241.000000,-81.113,29.443,223.767
242.000000,-75.109,26.746,223.175
243.000000,-81.554,26.281,222.446
244.000000,-80.907,29.606,225.500
245.000000,-72.826,28.561,225.759
246.000000,-79.435,27.322,224.250
247.000000,-92.206,28.115,224.740
248.000000,-90.031,23.678,226.642
249.000000,-94.611,26.225,225.415
250.000000,-96.210,27.716,224.418
251.000000,-91.912,25.827,225.953
252.000000,-98.394,31.036,223.822
253.000000,-101.610,31.007,222.471
254.000000,-107.820,27.199,226.053
255.000000,-107.024,27.791,224.554
256.000000,-113.227,28.305,223.357
257.000000,-117.794,28.270,223.827
258.000000,-123.404,33.415,225.066
259.000000,-131.911,32.158,225.743
260.000000,-137.739,28.400,226.008
261.000000,-141.341,34.028,228.230
262.000000,-143.509,30.651,227.425
263.000000,-150.133,31.230,227.281
264.000000,-152.439,31.460,225.367
265.000000,-150.063,31.675,226.040
266.000000,-156.330,28.510,227.365
267.000000,-155.021,26.274,227.298
268.000000,-150.440,27.647,228.381
269.000000,-151.263,30.511,226.415
270.000000,-149.600,32.000,229.662
271.000000,-155.574,27.383,226.729
272.000000,-150.612,35.624,227.930
273.000000,-149.348,32.363,227.435
274.000000,-153.486,29.830,228.806
275.000000,-152.884,28.570,227.127
276.000000,-156.284,29.513,228.603
277.000000,-157.567,31.367,229.845
278.000000,-155.272,26.117,229.240
279.000000,-166.560,30.305,229.995
280.000000,-172.271,28.036,229.032
281.000000,-167.398,30.439,227.847
282.000000,-171.293,30.023,229.219
283.000000,-179.158,32.687,231.098
284.000000,-184.865,34.311,231.143
285.000000,-188.180,29.723,230.700
286.000000,-198.143,34.128,232.630
287.000000,-203.189,29.077,233.733
288.000000,-207.465,33.167,232.279
289.000000,-209.620,33.163,232.669
290.000000,-202.152,33.940,233.385
291.000000,-208.563,36.110,234.653
292.000000,-210.453,41.275,235.256
293.000000,-215.460,37.433,234.182
294.000000,-215.030,33.062,233.235
295.000000,-209.618,39.554,234.942
296.000000,-215.223,38.558,235.364
297.000000,-214.517,37.033,233.504
298.000000,-216.058,36.670,234.898
299.000000,-212.598,40.543,234.441
300.000000,-205.940,36.750,234.011
301.000000,-208.997,35.758,235.244
302.000000,-211.958,35.161,234.623
303.000000,-212.164,38.789,235.704
304.000000,-218.655,33.321,237.048
305.000000,-223.036,36.915,235.141
306.000000,-214.860,31.282,236.182
307.000000,-217.314,34.842,236.489
308.000000,-211.337,38.255,235.991
309.000000,-214.629,38.253,237.184
310.000000,-223.208,37.723,236.978
311.000000,-222.387,32.887,235.819
312.000000,-224.507,40.836,237.400
313.000000,-216.855,37.292,238.246
314.000000,-223.745,40.503,236.792
315.000000,-221.839,40.752,237.561
316.000000,-224.452,34.871,237.385
317.000000,-222.983,41.879,238.806
318.000000,-226.953,38.101,240.091
319.000000,-228.960,38.448,237.003
320.000000,-232.171,34.706,238.733
321.000000,-230.877,40.484,237.858
322.000000,-233.890,33.893,238.507
323.000000,-233.066,39.558,239.061
324.000000,-234.478,43.698,237.993
325.000000,-241.354,38.050,236.498
326.000000,-239.659,45.968,239.942
327.000000,-246.905,34.058,238.446
328.000000,-253.348,35.331,239.468
329.000000,-249.017,44.229,238.462
330.000000,-250.931,45.320,238.904
331.000000,-253.874,40.681,238.324
332.000000,-251.342,46.296,238.365
333.000000,-248.183,47.672,237.398
334.000000,-257.513,51.332,238.690
335.000000,-256.915,41.508,238.436
336.000000,-254.794,47.158,237.210
337.000000,-254.744,48.052,235.651
338.000000,-253.096,47.738,234.660
339.000000,-246.235,46.777,236.100
340.000000,-253.054,48.002,237.146
341.000000,-254.143,44.871,237.308
342.000000,-254.424,43.678,234.140
343.000000,-252.987,43.726,236.153
344.000000,-255.059,48.117,236.983
345.000000,-255.579,47.371,237.136
346.000000,-261.917,44.206,236.623
347.000000,-260.562,45.298,236.046
348.000000,-259.195,44.835,236.324
349.000000,-259.026,47.453,237.617
350.000000,-263.594,41.768,237.274
351.000000,-266.956,46.325,237.324
352.000000,-270.238,46.954,236.754
353.000000,-269.744,45.678,238.701
354.000000,-278.072,45.894,239.418
355.000000,-274.143,45.777,237.753
356.000000,-277.351,50.433,238.671
357.000000,-277.042,44.883,239.771
358.000000,-287.275,46.704,238.683
359.000000,-282.166,51.378,238.583
360.000000,-286.768,47.781,241.315
361.000000,-288.242,46.821,243.033
362.000000,-285.468,51.559,241.940
363.000000,-291.684,44.715,241.536
364.000000,-292.265,50.880,244.299
365.000000,-296.316,49.123,243.046
366.000000,-301.402,55.834,240.169
367.000000,-297.987,50.397,243.109
